species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
Accipiter_nisus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Aegithalos_caudatus,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1
Carduelis_carduelis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduelis_chloris,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
Carduelis_flammea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Certhia_familiaris,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Corvus_monedula,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
Columba_oenas,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
Columba_palumbus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Corvus_corone,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Corvus_frugilegus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cuculus_canorus,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Parus_caeruleus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dendrocopos_major,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1
Emberiza_citrinella,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0
Erithacus_rubecula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Falco_tinnunculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Fringilla_coelebs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Garrulus_glandarius,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
Muscicapa_striata,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1
Parus_major,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Passer_domesticus,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Passer_montanus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parus_ater,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
Phylloscopus_collybita,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Phylloscopus_sibilatrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Phylloscopus_trochilus,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
Pica_pica,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
Picus_viridis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Parus_montanus,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
Parus_palustris,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Prunella_modularis,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pyrrhula_pyrrhula,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1
Regulus_regulus,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
Scolopax_rusticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sitta_europaea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Streptopelia_turtur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strix_aluco,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1
Sturnus_vulgaris,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1
Sylvia_atricapilla,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Sylvia_borin,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
Sylvia_communis,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Troglodytes_troglodytes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Turdus_philomelos,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
Turdus_viscivorus,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0
,,,,,,,,,,,,,,,,,,,,
Area (ha),0.14,0.32,0.42,0.53,0.66,0.68,0.7,0.7,0.73,0.93,1.2,1.3,1.7,1.9,2.4,2.4,2.9,3.7,6.9,18
sp.r,13,18,16,15,15,16,21,21,16,15,23,31,26,24,33,25,30,26,22,34
