species,X1,X2,X3,X4,X5,X6,X7
Crypturellus_cinnamomeus,1,1,1,1,1,0,0
Cathartes_aura,1,1,1,0,1,1,1
Coragyps_atratus,1,1,1,1,1,1,1
Buteo_magnirostris,1,1,1,0,1,1,1
Buteogallus_urubitinga,0,0,0,0,0,1,0
Leptodon_cayanensis,0,0,0,1,0,0,0
Herpetotheres_cachinnans,0,1,0,0,0,0,0
Caracara_cheriway,0,0,1,0,0,1,0
Patagioenas_flavirostris,1,0,0,1,0,0,1
Columbina_inca,0,0,1,1,0,1,0
Leptotila_plumbeiceps,0,0,1,1,0,0,0
Leptotila_verreauxi,1,1,1,1,1,1,1
Zenaida_asiatica,1,0,0,0,0,0,0
Amazona_albifrons,1,0,1,0,0,1,0
Amazona_auropalliata,1,1,1,1,0,0,1
Aratinga_canicularis,1,1,1,1,1,1,1
Aratinga_holochlora,0,0,0,0,1,0,0
Brotogeris_jugularis,1,0,1,1,0,0,1
Piaya_cayana,1,1,1,1,1,0,0
Amazilia_cyanura,0,0,1,1,0,0,0
Amazilia_rutila,1,1,1,0,1,1,1
Amazilia_saucerrottei,1,1,1,0,1,1,1
Amazilia_tzacatl,0,0,1,1,1,1,0
Chlorostilbon_canivetii,0,0,1,1,0,1,1
Heliomaster_constantii,0,0,1,0,0,1,0
Trogon_elegans,1,1,1,1,0,0,0
Trogon_melanocephalus,1,1,1,1,1,1,1
Trogon_violaceus,1,0,0,0,0,0,0
Eumomota_superciliosa,0,1,0,1,0,0,0
Momotus_momota,1,1,0,0,0,0,0
Campephilus_guatemalensis,1,1,0,0,0,0,0
Dryocopus_lineatus,0,0,0,1,0,0,0
Melanerpes_hoffmannii,1,1,1,1,1,1,1
Dendrocolaptes_sanctithomae,1,1,0,0,0,0,0
Lepidocolaptes_souleyetii,1,1,0,0,0,0,0
Sittasomus_griseicapillus,1,1,0,0,0,0,0
Xiphorhynchus_flavigaster,1,0,0,1,0,0,0
Thamnophilus_doliatus,1,0,0,0,0,0,0
Chiroxiphia_linearis,1,1,1,0,0,0,0
Camptostoma_imberbe,1,1,0,0,0,0,1
Elaenia_flavogaster,1,0,0,0,0,0,0
Megarynchus_pitangua,1,1,1,1,1,0,0
Myiarchus_nuttingi,1,0,1,0,0,1,0
Myiarchus_tuberculifer,1,1,1,1,1,1,1
Myiarchus_tyrannulus,1,1,1,1,1,1,1
Myiodynastes_maculatus,1,1,0,1,0,0,0
Myiozetetes_similis,1,1,0,0,0,0,0
Pachyramphus_aglaiae,0,1,0,0,0,0,0
Pitangus_sulphuratus,1,1,1,1,1,0,1
Tityra_semifasciata,1,0,0,1,0,0,0
Poecilotriccus_sylvia,1,0,1,0,0,0,0
Tolmomyias_sulphurescens,1,1,1,1,1,0,0
Calocitta_formosa,1,0,1,1,1,1,1
Vireo_flavoviridis,0,0,0,1,0,0,0
Campylorhynchus_rufinucha,1,1,1,1,1,0,0
Thryothorus_pleurostictus,1,1,1,1,1,1,1
Thryothorus_rufalbus,0,0,1,0,0,0,0
Polioptila_albiloris,1,1,1,1,1,1,0
Progne_chalybea,0,0,1,0,0,1,0
Basileuterus_rufifrons,1,1,0,0,1,0,0
Parula_pitiayumi,0,0,0,0,0,0,1
Aimophila_ruficauda,0,0,0,1,0,0,0
Arremon_aurantiirostris,1,1,0,0,0,0,0
Cyanerpes_cyaneus,1,0,0,0,0,0,0
Eucometis_penicillata,1,0,0,0,0,0,0
Euphonia_affinis,0,0,0,1,0,0,0
Icterus_pustulatus,0,1,0,1,1,0,0
Psarocolius_montezuma,0,0,1,0,0,0,0
Quiscalus_mexicanus,0,0,0,0,0,0,1
,,,,,,,
Area (ha),10800,16804,4800,12420,5100,800,420
sp.r,46,36,37,35,24,23,21
