species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
Accipiter_nisus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Acrocephalus_schoenobaenus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Aegithalos_caudatus,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
Anas_platyrhynchos,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Carduelis_cannabina,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
Carduelis_carduelis,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Carduelis_chloris,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
Certhia_familiaris,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
Corvus_corone,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Corvus_frugilegus,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Corvus_monedula,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Cuculus_canorus,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
Emberiza_citrinella,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0
Erithacus_rubecula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fringilla_coelebs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fulica_atra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Garrulus_glandarius,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Muscicapa_striata,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Parus_ater,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Parus_caeruleus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parus_major,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
Passer_domesticus,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
Passer_montanus,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
Phylloscopus_collybita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Phylloscopus_trochilus,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Pica_pica,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Picus_viridis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Prunella_modularis,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Pyrrhula_pyrrhula,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Streptopelia_turtur,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Strix_aluco,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
Sturnus_vulgaris,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
Sylvia_communis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Troglodytes_troglodytes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_philomelos,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1
Turdus_viscivorus,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthus_trivialis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccothraustes_coccothraustes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Columba_oenas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos_major,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Parus_palustris,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Phoenicurus_phoenicurus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Regulus_regulus,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Scolopax_rusticola,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
Sylvia_atricapilla,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
Sylvia_borin,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
Gallinula_chloropus,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,
Area (ha),3.72,5.07,2.33,2.55,4.85,14.51,3.78,7.72,12.17,0.9,2.56,3.95,0.74,1.09,1.03,9.86
sp.r,21,25,19,23,18,18,16,24,25,16,20,25,14,15,12,31
