species,X1,X2,X3,X4,X5,X6,X7,X8
Crypturellus_soui,1,0,0,0,0,0,0,0
Ortalis_cinereiceps,1,0,0,0,0,0,0,0
Penelope_purpurascens,0,1,1,0,0,1,1,1
Odontophorus_guttatus,0,1,1,0,1,0,0,0
Aramides_cajanea,0,1,0,0,0,0,0,0
Patagioenas_speciosa,1,1,0,1,0,1,0,1
Patagioenas_subvinacea,0,1,1,0,1,1,1,1
Patagioenas_nigrirostris,1,0,0,0,0,0,0,0
Leptotila_verreauxi,0,0,0,1,0,0,0,1
Leptotila_cassini,1,0,0,0,0,0,0,0
Geotrygon_montana,1,0,0,0,0,0,0,0
Piaya_cayana,1,0,1,0,1,0,1,0
Phaethornis_longirostris,1,0,0,0,0,0,0,0
Phaethornis_guy,1,1,1,1,0,1,1,1
Phaethornis_striigularis,1,1,1,0,0,1,0,0
Campylopterus_hemileucurus,0,1,1,0,0,0,0,0
Colibri_delphinae,0,0,0,0,0,0,0,1
Thalurania_colombica,0,0,1,0,0,0,0,0
Amazilia_decora,0,0,1,0,0,0,0,0
Amazilia_tzacatl,1,0,0,0,0,1,0,0
Elvira_chionura,1,1,0,0,1,0,0,0
Lampornis_castaneoventris,0,1,1,0,1,1,1,1
Heliodoxa_jacula,1,1,0,0,1,0,0,1
Heliothryx_barroti,0,1,0,0,0,0,0,0
Trogon_massena,1,0,0,0,0,0,0,0
Trogon_bairdii,1,0,0,0,0,0,0,0
Trogon_collaris,1,1,1,0,0,1,1,1
Trogon_violaceus,1,0,0,0,0,0,0,0
Momotus_momota,1,1,1,1,1,0,0,1
Eubucco_bourcierii,0,1,1,0,1,1,0,1
Aulacorhynchus_prasinus,0,1,1,1,1,1,0,1
Pteroglossus_frantzii,1,0,1,0,0,0,0,0
Picoides_fumigatus,0,1,0,0,0,0,0,0
Colaptes_rubiginosus,1,1,1,0,1,0,0,0
Dryocopus_lineatus,1,0,0,0,1,0,0,0
Dendrocincla_homochroa,1,1,0,0,0,0,0,0
Sittasomus_griseicapillus,1,0,1,1,1,1,0,0
Glyphorynchus_spirurus,1,1,0,0,0,0,0,0
Xiphorhynchus_erythropygius,1,1,1,0,1,0,0,0
Campylorhamphus_pusillus,1,1,1,0,0,0,0,0
Cranioleuca_erythrops,1,1,1,1,1,1,1,0
Premnoplex_brunnescens,1,1,1,1,1,1,0,0
Anabacerthia_variegaticeps,0,0,1,0,1,0,0,0
Automolus_ochrolaemus,1,1,1,1,1,1,0,0
Automolus_rubiginosus,1,0,1,0,0,1,0,0
Xenops_minutus,1,0,0,0,0,0,0,0
Myrmotherula_schisticolor,1,1,1,0,0,0,0,0
Thamnistes_anabatinus,1,1,1,0,0,0,0,0
Dysithamnus_mentalis,1,1,1,0,0,0,0,0
Formicarius_analis,1,0,0,0,0,0,0,0
Grallaricula_flavirostris,0,1,0,0,0,0,0,0
Pachyramphus_polychopterus,1,0,0,0,0,0,0,0
Tityra_semifasciata,1,0,1,0,0,0,0,0
Lipaugus_unirufus,1,0,0,0,0,0,0,0
Procnias_tricarunculatus,0,1,0,0,0,0,0,0
Pipra_mentalis,1,0,0,0,0,0,0,0
Corapipo_leucorrhoa,1,1,1,1,1,1,0,1
Schiffornis_turdina,1,0,0,0,0,0,0,0
Tyrannus_melancholicus,1,0,0,0,0,1,0,0
Legatus_leucophaius,0,0,0,0,0,0,1,0
Megarynchus_pitangua,1,1,1,0,1,0,0,0
Attila_spadiceus,0,1,1,0,1,0,0,0
Myiodynastes_luteiventris,0,0,1,0,0,0,0,0
Myiozetetes_similis,0,0,0,0,1,0,0,1
Myiarchus_tuberculifer,1,1,1,0,1,0,0,0
Contopus_sordidulus,1,1,0,0,0,1,0,0
Empidonax_flaviventris,1,1,1,0,1,0,0,0
Empidonax_flavescens,0,1,0,0,0,0,0,0
Mitrephanes_phaeocercus,0,1,1,0,0,0,0,0
Myiobius_sulphureipygius,1,0,0,0,0,0,0,0
Platyrinchus_mystaceus,1,1,1,0,1,0,0,0
Tolmomyias_sulphurescens,1,0,0,0,0,0,0,0
Rhynchocyclus_brevirostris,1,1,1,0,0,0,0,0
Lophotriccus_pileatus,1,1,1,1,1,1,1,0
Elaenia_flavogaster,0,1,0,1,1,1,1,1
Myiopagis_viridicata,1,0,0,0,0,0,0,0
Zimmerius_vilissimus,1,1,1,1,1,1,1,1
Phyllomyias_zeledoni,0,1,1,0,0,0,0,0
Leptopogon_superciliaris,0,1,1,0,0,0,0,0
Mionectes_olivaceus,0,1,1,1,1,1,1,1
Mionectes_oleagineus,1,0,0,0,0,0,0,0
Thryothorus_semibadius,1,0,0,0,0,0,0,0
Thryothorus_rutilus,1,0,0,0,0,0,0,0
Troglodytes_aedon,0,0,0,1,1,0,1,0
Troglodytes_ochraceus,0,1,1,1,1,0,1,1
Henicorhina_leucosticta,1,0,0,0,1,0,0,0
Henicorhina_leucophrys,0,1,1,0,1,1,1,1
Microcerculus_marginatus,1,1,1,0,0,1,0,0
Turdus_assimilis,1,0,0,0,0,0,0,0
Turdus_grayi,1,1,0,1,1,1,1,1
Myadestes_melanops,0,1,0,0,0,1,1,0
Catharus_ustulatus,1,1,1,1,1,1,0,1
Catharus_aurantiirostris,1,1,0,0,1,1,1,0
Polioptila_plumbea,1,0,0,0,0,0,0,0
Ramphocaenus_melanurus,1,0,0,0,0,0,0,0
Vireo_leucophrys,0,1,1,1,1,0,1,1
Hylophilus_ochraceiceps,1,0,0,0,0,0,0,0
Hylophilus_decurtatus,1,1,1,0,0,0,0,0
Coereba_flaveola,1,1,0,0,0,0,0,0
Parula_pitiayumi,0,1,1,1,1,1,1,1
Wilsonia_pusilla,0,0,0,1,1,0,0,1
Myioborus_miniatus,1,1,1,1,1,1,1,1
Basileuterus_culicivorus,1,0,0,0,0,0,0,0
Phaeothlypis_fulvicauda,1,1,1,0,0,0,0,0
Psarocolius_wagleri,0,0,1,0,0,0,0,0
Chlorophonia_callophrys,1,1,1,1,1,0,1,1
Euphonia_elegantissima,1,1,1,0,1,0,0,1
Euphonia_laniirostris,1,1,1,0,0,0,0,0
Euphonia_imitans,1,0,1,0,0,0,0,0
Tangara_guttata,1,1,0,0,0,0,0,0
Tangara_icterocephala,1,1,1,1,1,1,1,1
Tangara_larvata,1,0,0,0,1,1,1,1
Tangara_gyrola,1,0,1,0,0,0,0,0
Chlorophanes_spiza,1,0,1,0,0,0,0,0
Dacnis_venusta,0,0,0,0,1,0,0,0
Thraupis_episcopus,1,0,1,1,0,1,0,0
Thraupis_palmarum,1,1,0,0,1,0,0,1
Piranga_lutea,1,0,0,0,0,0,0,0
Piranga_olivacea,1,0,0,0,0,0,0,0
Piranga_leucoptera,1,1,0,0,0,1,0,0
Habia_rubica,1,0,0,0,0,0,0,0
Eucometis_penicillata,1,0,0,0,0,0,0,0
Chlorospingus_ophthalmicus,1,1,1,1,1,1,1,1
Saltator_maximus,1,1,1,1,1,1,1,1
Saltator_striatipectus,1,1,0,0,1,0,1,0
Cyanocompsa_cyanoides,1,0,0,0,0,0,0,0
Atlapetes_albinucha,0,0,0,0,0,1,0,0
Arremon_brunneinucha,1,1,1,1,1,1,1,0
Arremon_aurantiirostris,1,1,1,0,0,0,0,0
Arremonops_conirostris,0,0,0,1,0,0,0,1
Zonotrichia_capensis,0,0,0,0,0,1,0,0
,,,,,,,,
Area (ha),25,25,15,1,1,0.3,0.3,0.3
sp.r,92,71,64,29,49,39,28,33
