species,Caucaia do Alto - Alcides,Caucaia do Alto - Beto Jamil,Caucaia do Alto - Carmo Messias,Caucaia do Alto - Dito,Caucaia do Alto - Dito Andrac,Caucaia do Alto - Godoy,Caucaia do Alto - Japonas,Caucaia do Alto - Lila,Caucaia do Alto - Luiza Osmal,Caucaia do Alto - Maria,Caucaia do Alto - Mioko,Caucaia do Alto - Nelson,Caucaia do Alto - Pedro,Caucaia do Alto - Pedroso,Caucaia do Alto - Reizinho,Caucaia do Alto - Takimoto,Caucaia do Alto - Tereza
Basileuterus_culicivorus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Basileuterus_leucoblepharus,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Chiroxiphia_caudata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Conopophaga_lineata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dendrocolaptes_platyrostris,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
Drymophila_malura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysithamnus_mentalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemitriccus_diops,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hylophilus_poicilotis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrotriccus_euleri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Xiphorhynchus_fuscus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leptopogon_amaurocephalus,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0
Malacoptila_striata,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1
Mionectes_rufiventris,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Phaethornis_eurynome,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Platyrinchus_mystaceus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pyriglena_leucoptera,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Saltator_similis,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
Sclerurus_scansor,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0
Sittasomus_griseicapillus,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1
Synallaxis_ruficapilla,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1
Syndactyla_rufosuperciliata,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
Tachyphonus_coronatus,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
Thamnophilus_caerulescens,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1
Poecilotriccus_plumbeiceps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolmomyias_sulphurescens,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Trichothraupis_melanops,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_albicollis,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
Turdus_rufiventris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemitriccus_orbitatus,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Neopelma_chrysolophum,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Schiffornis_virescens,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
Veniliornis_spilogaster,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Leptotila_rufaxilla,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Thalurania_glaucopis,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
Turdus_amaurochalinus,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leptotila_verreauxi,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0
Pipraeidea_melanonota,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xenops_minutus,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0
Xiphocolaptes_albicollis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrmeciza_squamosa,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
Automolus_leucophthalmus,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0
Batara_cinerea,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Celeus_flavescens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Attila_rufus,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Haplospiza_unicolor,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Piaya_cayana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Picumnus_cirratus,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
Synallaxis_spixi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Conirostrum_speciosum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tangara_desmaresti,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coereba_flaveola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lochmias_nematura,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Myiobius_barbatus,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Turdus_flavipes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Volatinia_jacarina,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Florisuga_fusca,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cyclarhis_gujanensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Drymophila_ochropyga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cranioleuca_pallida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turdus_leucomelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cnemotriccus_fuscatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,
Area (ha),8.56,14.35,5.59,5.13,21.95,16.86,4.76,24.73,3.79,3.96,56.11,45.77,52.27,158.45,19.3,80.01,2.06
sp.r,29,24,17,17,24,27,32,28,22,27,19,27,28,31,23,31,21
