species,Ribeiroo Grande - Alteres,Ribeiroo Grande - Boiadeiro,Ribeiroo Grande - Bojado,Ribeiroo Grande - Citadini,Ribeiroo Grande - Cromossomo,Ribeiroo Grande - Divisa,Ribeiroo Grande - Faapio,Ribeiroo Grande - Harpa,Ribeiroo Grande - Lira,Ribeiroo Grande - Machucado,Ribeiroo Grande - Meninas,Ribeiroo Grande - Padre Pedro,Ribeiroo Grande - Paulo Nunes,Ribeiroo Grande - Pedro Onario,Ribeiroo Grande - Radialista,Ribeiroo Grande - Radji,Ribeiroo Grande - Yoko
Dendrocolaptes_platyrostris,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hemitriccus_diops,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptopogon_amaurocephalus,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
Phaethornis_eurynome,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Pyriglena_leucoptera,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sclerurus_scansor,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Sittasomus_griseicapillus,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
Tolmomyias_sulphurescens,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Hemitriccus_orbitatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Schiffornis_virescens,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Veniliornis_spilogaster,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Turdus_amaurochalinus,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
Attila_rufus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Haplospiza_unicolor,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Piaya_cayana,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Synallaxis_spixi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Coereba_flaveola,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lochmias_nematura,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Florisuga_fusca,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cyclarhis_gujanensis,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
Turdus_leucomelas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arremon_semitorquatus,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Corythopis_delalandi,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Habia_rubica,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Amazilia_lactea,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Mackenziaena_severa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geotrygon_montana,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
Pyrrhocoma_ruficeps,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Camptostoma_obsoletum,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Knipolegus_cyanirostris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Phaethornis_pretrei,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Synallaxis_cinerascens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tangara_cayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Catharus_fuscescens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Myiodynastes_maculatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Phylloscartes_ventralis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Anabacerthia_amaurotis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Basileuterus_hypoleucus,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Colaptes_melanochloros,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dryocopus_lineatus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chlorostilbon_lucidus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Buteo_magnirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sporophila_caerulescens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Micrastur_ruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pachyramphus_polychopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thlypopsis_sordida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thraupis_sayaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Myiarchus_swainsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leptotila_rufaxilla,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
Leptotila_verreauxi,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
Xiphorhynchus_fuscus,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1
Saltator_similis,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1
