species,Chawia,Fururu,Kichuchenyi,Macha,Mbololo,Mwachora,Ndiwenyi,Ngangao,Ronge,Vuria,Wundanyi,Yale
Andropadus_importunus,1,1,1,1,0,0,1,0,1,0,1,0
Andropadus_milanjensis,1,1,1,1,1,1,1,1,1,1,0,1
Anthreptes_collaris,1,1,0,0,0,0,1,0,0,0,1,0
Apalis_melanocephala,1,0,0,0,0,0,0,0,0,0,0,0
Apalis_fuscigularis,1,0,0,0,0,0,0,1,0,1,0,1
Apaloderma_narina,1,0,0,1,0,0,0,0,0,0,1,0
Aplopelia_larvata,1,1,0,1,1,0,1,1,1,1,0,1
Bradypterus_lopezi,1,1,1,1,1,1,1,1,0,1,0,1
Camaroptera_brachyura,1,1,0,1,0,1,1,1,1,1,0,0
Ceyx_pictus,1,0,0,0,0,0,0,0,0,0,1,0
Chlorocichla_flaviventris,1,0,0,0,1,0,0,1,1,0,0,0
Cossypha_caffra,1,0,0,1,0,1,1,1,0,0,0,0
Cossypha_heuglini,1,0,0,0,0,0,0,0,0,0,0,0
Cossypha_semirufa,1,1,0,1,1,1,1,1,1,0,1,1
Erythropygia_quadrivirgata,1,0,0,0,0,0,0,1,0,0,0,0
Hypargos_niveoguttatus,1,0,0,0,1,0,0,0,1,0,0,1
Pseudoalcippe_abyssinica,1,0,0,0,0,0,0,0,0,0,0,0
Indicator_minor,1,1,0,1,0,1,1,1,0,0,0,0
Lagonosticta_rubricata,1,0,0,0,0,0,0,0,0,0,0,0
Laniarius_aethiopicus,1,0,0,0,0,0,0,0,0,0,0,0
Mandingoa_nitidula,1,1,0,1,1,1,1,1,1,1,1,1
Muscicapa_adusta,1,1,0,1,1,0,1,1,0,0,0,0
Nectarinia_mediocris,1,1,0,0,0,0,1,1,0,1,0,1
Nectarinia_olivacea,1,1,1,1,1,1,1,1,1,1,1,1
Nectarinia_venusta,1,1,0,1,0,0,1,1,0,1,0,0
Nicator_gularis,1,1,0,1,1,0,0,0,0,0,0,0
Phyllastrephus_cabanisi,1,1,0,1,1,1,1,1,1,1,0,1
Phylloscopus_ruficapilla,1,1,0,0,1,0,0,1,0,1,0,1
Platysteira_peltata,1,1,0,0,0,0,0,0,0,0,0,0
Pogonocichla_stellata,1,1,1,1,1,1,1,1,1,1,1,1
Strix_woodfordii,1,0,0,1,0,0,1,1,0,0,0,0
Sylvia_atricapilla,1,0,0,1,1,0,0,1,0,0,0,0
Terpsiphone_viridis,1,0,0,1,1,0,1,1,0,0,1,0
Turdus_helleri,1,1,0,1,1,0,0,1,0,0,0,1
Turtur_tympanistria,1,1,0,0,1,0,0,1,1,0,1,0
Zoothera_gurneyi,1,1,0,0,1,0,0,1,0,0,0,1
Zosterops_abyssinicus,1,0,0,0,0,0,0,0,0,0,0,0
Zosterops_poliogastrus,1,1,1,1,1,1,1,1,1,1,1,1
Andropadus_virens,0,1,0,0,0,0,0,0,0,0,0,0
Colius_striatus,0,1,0,1,0,0,0,0,0,0,0,0
Hippolais_pallida,0,1,0,0,0,0,0,1,0,0,0,0
Lonchura_bicolor,0,1,0,1,0,1,0,0,0,0,0,0
Ploceus_baglafecht,0,1,0,0,0,0,1,1,0,0,0,0
Ploceus_ocularis,0,1,0,0,0,0,1,1,0,0,0,0
Tricholaema_lacrymosa,0,1,0,0,0,0,0,0,0,0,0,0
Vidua_macroura,0,1,0,0,0,0,0,0,0,0,0,0
Estrilda_quartinia,0,0,0,1,0,0,0,1,0,0,0,0
Halcyon_albiventris,0,0,0,1,0,0,0,1,0,0,0,0
Indicator_variegatus,0,0,0,1,1,0,0,1,0,0,0,0
Nectarinia_amethystina,0,0,0,1,0,0,1,1,0,0,0,0
Phyllastrephus_cerviniventris,0,0,0,1,0,0,0,0,1,0,1,0
Phylloscopus_trochilus,0,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus_barbatus,0,0,0,1,0,0,0,0,0,0,0,0
Tauraco_hartlaubi,0,0,0,1,0,0,1,1,0,1,0,0
Trochocercus_cyanomelas,0,0,0,1,1,0,0,0,1,0,1,0
Cinnyricinclus_sharpii,0,0,0,0,1,0,0,0,0,0,0,0
Cossypha_natalensis,0,0,0,0,1,0,0,0,1,0,0,0
Pogoniulus_pusillus,0,0,0,0,1,0,0,0,0,0,0,0
Onychognathus_morio,0,0,0,0,0,1,0,0,0,0,0,0
Estrilda_astrild,0,0,0,0,0,0,1,0,0,0,0,0
Lagonosticta_rhodopareia,0,0,0,0,0,0,1,0,0,0,0,0
Lonchura_cucullata,0,0,0,0,0,0,1,0,0,0,0,0
Sarothrura_elegans,0,0,0,0,0,0,1,0,0,0,0,0
Caprimulgus_tristigma,0,0,0,0,0,0,0,1,0,0,0,0
Cuculus_solitarius,0,0,0,0,0,0,0,1,0,0,0,0
Dryoscopus_cubla,0,0,0,0,0,0,0,1,1,0,0,0
Phylloscopus_collybita,0,0,0,0,0,0,0,1,0,0,0,0
Prinia_subflava,0,0,0,0,0,0,0,1,0,0,0,0
Telophorus_nigrifrons,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,
Area (ha),90,8.04,1.28,3.42,179,2.31,3.76,147,14.81,6.99,1.14,3.94
sp.r,38,30,6,32,24,13,27,39,17,14,13,15
