species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
Dicrurus_hottentottus,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dicrurus_leucophaeus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendronanthus_indicus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ficedula_zanthopygia,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Lanius_tigrinus,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Oriolus_chinensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylloscopus_goodsoni,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Terpsiphone_paradisi,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passer_montanus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parus_major,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pycnonotus_sinensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Garrulax_berthemyi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stigmatopelia_chinensis,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
Paradoxornis_webbianus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Aegithalos_concinnus,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
Urocissa_erythrorhyncha,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Motacilla_alba,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
Bambusicola_thoracicus,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Parus_venustulus,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Dendrocopos_major,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hypsipetes_leucocephalus,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zosterops_japonicus,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Corvus_macrorhynchos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Copsychus_saularis,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Lanius_schach,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
Hemixos_castanonotus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegithalos_caudatus,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Bradypterus_luteoventris,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Acridotheres_cristatellus,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Megalaima_virens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturnus_nigricollis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pica_pica,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Sturnus_sericeus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonchura_striata,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Hypsipetes_mcclellandii,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paradoxornis_gularis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrulax_canorus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cettia_fortipes,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Area (ha),92.16,36,26,21.31,20,18,16.7,16,11.4,7.07,4.92,3.84,3.24,3.16,2.88,1.51,1.44,1.28,0.96,0.52
sp.r,25,20,21,17,10,13,23,16,19,12,10,9,13,9,13,5,6,4,9,5
