species,Santiago2,Fogo,Brava,San.Antao,S.Vicente,S.Luzia,Branco,Raso,S.Nicolau,Sal,Boavista,Maio
Coturnix_coturnix,1,1,1,1,1,0,0,1,1,1,1,1
Numida_meleagris,1,1,0,1,0,0,0,0,1,0,1,1
Halcyon_leucocephala,1,1,1,0,0,0,0,0,0,0,0,0
Apus_alexandri,1,1,1,1,0,0,0,0,1,0,0,0
Tyto_alba,1,1,1,1,0,0,1,1,1,0,1,1
Columba_livia,1,1,1,1,1,0,0,0,1,1,1,0
Cursorius_cursor,1,0,0,0,1,0,0,0,1,1,1,1
Neophron_percnopterus,0,0,0,1,0,0,0,0,1,0,1,1
Buteo_buteo,1,0,0,1,0,0,0,0,0,0,0,0
Falco_tinnunculus,1,1,1,1,1,1,1,1,1,1,1,1
Falco_peregrinus,1,0,1,0,0,0,0,0,1,0,0,0
Bubulcus_ibis,1,0,0,0,0,0,0,0,0,0,0,0
Corvus_ruficollis,1,1,1,1,1,1,1,1,1,1,1,1
Acrocephalus_brevipennis,1,1,0,0,0,0,0,0,1,0,0,0
Sylvia_atricapilla,1,1,1,1,0,0,0,0,1,0,0,0
Sylvia_conspicillata,1,1,1,1,1,0,0,0,1,0,1,1
Eremopterix_nigriceps,1,1,0,0,0,0,0,0,0,0,1,1
Ammomanes_cinctura,1,1,0,0,0,0,0,0,1,1,1,1
Passer_hispaniolensis,1,1,0,0,0,0,0,0,1,1,1,1
Passer_iagoensis,1,0,1,1,1,1,0,1,1,1,1,1
Estrilda_astrild,1,0,0,1,0,0,0,0,1,0,0,0
Alauda_razae,0,0,0,0,0,0,0,1,0,0,0,0
Alaemon_alaudipes,0,0,0,0,0,0,0,0,0,0,1,1
Streptopelia_decaocto,1,0,0,0,0,0,0,0,0,1,1,0
Passer_domesticus,0,0,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,
Area (ha),100957,47480,6660,78730,23280,3670,294,700,35220,22150,63410,27900
sp.r,21,14,11,13,8,3,3,6,17,9,15,13
