species,Anguilla,St.Martin,St.Barthelemy,Saba,St.Eustacius,Monserrat,Guadeloupe,Dominica,Martinique,St.Lucia,Barbados,Grenada
Coccyzus_minor,1,1,1,0,0,1,1,1,1,1,0,1
Eulampis_holosericeus,1,1,1,1,1,1,1,1,1,1,1,1
Orthorhyncus_cristatus,1,1,1,1,1,1,1,1,1,1,1,1
Columba_livia,1,1,1,1,1,1,1,1,1,1,1,1
Patagioenas_leucocephala,1,1,1,0,0,0,1,0,0,0,0,0
Patagioenas_squamosa,1,1,1,1,1,1,1,1,1,1,1,1
Columbina_passerina,1,1,1,1,1,1,1,1,1,1,1,1
Falco_sparverius,1,1,1,1,1,1,1,1,1,1,0,1
Bubulcus_ibis,1,1,1,1,1,1,1,1,1,1,1,1
Elaenia_martinica,1,1,1,1,1,1,1,1,1,1,1,1
Tyrannus_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1
Vireo_altiloquus,1,1,1,1,1,1,1,1,1,1,1,1
Margarops_fuscatus,1,1,1,1,1,1,1,1,1,1,0,0
Progne_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1
Dendroica_petechia,1,1,1,0,1,1,1,1,1,1,1,0
Coereba_flaveola,1,1,1,1,1,1,1,1,1,1,1,1
Tiaris_bicolor,1,1,1,1,1,1,1,1,1,1,1,1
Loxigilla_noctis,1,1,1,1,1,1,1,1,1,1,1,1
Quiscalus_lugubris,1,1,1,1,1,1,1,1,1,1,1,1
Eulampis_jugularis,0,0,1,1,1,1,1,1,1,1,0,1
Geotrygon_mystacea,0,1,0,1,1,1,1,1,1,1,0,0
Buteo_jamaicensis,0,0,1,1,1,0,0,0,0,0,0,0
Margarops_fuscus,0,1,1,1,0,1,1,1,1,1,0,1
Crotophaga_ani,0,0,0,0,1,1,1,1,1,1,0,1
Aratinga_pertinax,0,0,0,1,0,0,0,1,0,0,0,0
Cinclocerthia_ruficauda,0,0,0,1,0,1,1,1,0,0,0,1
Streptopelia_decaocto,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_lherminieri,0,0,0,0,0,1,1,1,0,1,0,0
Icterus_oberi,0,0,0,0,0,1,0,0,0,0,0,0
Melanerpes_herminieri,0,0,0,0,0,0,1,0,0,0,0,0
