species,Corvo,Flores,Faial,Pico,Graciosa,Sao.Jorge,Terceira,Sao.Miguel,Santa.Maria
Coturnix_coturnix,0,0,1,1,1,1,1,1,1
Buteo_buteo,0,0,1,1,1,1,1,1,1
Scolopax_rusticola,1,1,1,1,0,1,1,1,0
Columba_livia,1,1,1,1,1,1,1,1,1
Columba_palumbus,1,1,1,1,1,1,1,1,1
Streptopelia_decaocto,0,0,0,0,0,0,1,1,0
Psittacula_krameri,0,0,0,0,0,0,0,1,0
Asio_otus,0,0,1,1,1,1,1,1,0
Erithacus_rubecula,0,0,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1
Sylvia_atricapilla,1,1,1,1,1,1,1,1,1
Regulus_regulus,0,1,1,1,0,1,1,1,1
Sturnus_vulgaris,1,1,1,1,1,1,1,1,1
Passer_domesticus,1,1,1,1,1,1,1,1,1
Estrilda_astrild,0,0,0,0,0,0,1,1,0
Fringilla_coelebs,1,1,1,1,1,1,1,1,1
Serinus_canaria,1,1,1,1,1,1,1,1,1
Carduelis_chloris,0,0,0,1,0,0,1,1,0
Carduelis_carduelis,1,1,1,1,1,1,1,1,1
Pyrrhula_murina,0,0,0,0,0,0,0,1,0
Alectoris_rufa,0,0,0,1,0,0,1,0,0
,,,,,,,,,
Area (ha),1700,14300,17300,44600,6100,24600,40100,75700,9700
sp.r,10,11,15,17,13,15,19,20,13
