species,Lanzarote,Fuerteventura,Gran.Canaria,Tenerife,La.Gomera,La.Palma,El.Hierro
Bubulcus_ibis,1,0,0,0,0,0,0
Accipiter_nisus,0,0,1,1,1,1,1
Buteo_buteo,0,1,1,1,1,1,1
Neophron_percnopterus,1,1,0,0,0,0,0
Falco_pelegrinoides,1,1,1,1,1,1,1
Falco_tinnunculus,1,1,1,1,1,1,1
Alectoris_barbara,1,1,0,1,1,1,1
Alectoris_rufa,0,0,1,0,0,0,0
Coturnix_coturnix,1,1,1,1,1,1,1
Chlamydotis_undulata,1,1,0,0,0,0,0
Burhinus_oedicnemus,1,1,1,1,1,1,1
Cursorius_cursor,1,1,0,0,0,0,0
Scolopax_rusticola,0,0,1,1,1,1,1
Columba_bollii,0,0,0,1,1,1,1
Columba_junoniae,0,0,1,1,1,1,1
Columba_livia,1,1,1,1,1,1,1
Streptopelia_decaocto,1,1,1,1,1,1,1
Streptopelia_roseogrisea,1,1,1,1,1,1,0
Streptopelia_turtur,1,1,1,1,1,1,1
Myiopsitta_monachus,0,1,1,1,0,1,0
Psittacula_krameri,1,1,1,1,0,0,0
Asio_otus,0,1,1,1,1,1,1
Tyto_alba,1,1,1,1,1,1,1
Apus_apus,1,0,1,1,0,0,0
Apus_pallidus,1,1,1,1,0,0,1
Apus_unicolor,1,1,1,1,1,1,1
Upupa_epops,1,1,1,1,1,1,1
Dendrocopos_major,0,0,1,1,0,0,0
Calandrella_rufescens,1,1,1,0,0,0,0
Corvus_corax,1,1,1,1,1,1,1
Pyrrhocorax_pyrrhocorax,0,0,0,0,0,1,0
Miliaria_calandra,1,1,1,1,1,0,1
Estrilda_astrild,0,0,1,0,0,0,0
Bucanetes_githagineus,1,1,1,1,1,0,0
Carduelis_cannabina,1,1,1,1,1,1,1
Carduelis_carduelis,1,1,1,1,1,1,1
Carduelis_chloris,0,0,1,1,1,1,1
Fringilla_coelebs,0,0,1,1,1,1,1
Fringilla_teydea,0,0,1,1,0,0,0
Serinus_canaria,1,1,1,1,1,1,1
Serinus_serinus,0,0,1,1,0,0,0
Hirundo_rustica,0,0,1,0,0,0,0
Lanius_meridionalis,1,1,1,1,0,0,0
Anthus_berthelotii,1,1,1,1,1,1,1
Parus_teneriffae,1,1,1,1,1,1,1
Passer_domesticus,0,0,1,0,0,0,0
Pterocles_orientalis,0,1,0,0,0,0,0
Passer_hispaniolensis,1,1,1,1,1,1,1
Stigmatopelia_senegalensis,1,1,1,1,1,0,0
Passer_montanus,0,0,1,0,0,0,0
Petronia_petronia,0,0,1,1,1,0,1
Acridotheres_tristis,0,0,0,1,0,0,0
Sturnus_vulgaris,0,0,1,1,0,0,0
Phylloscopus_canariensis,0,0,1,1,1,1,1
Regulus_regulus,0,0,0,1,1,1,1
Sylvia_atricapilla,0,0,1,1,1,1,1
Sylvia_conspicillata,1,1,1,1,1,1,1
Sylvia_melanocephala,1,1,1,1,1,1,1
Erithacus_rubecula,0,0,1,1,1,1,1
Saxicola_dacotiae,0,1,0,0,0,0,0
Turdus_merula,0,0,1,1,1,1,1
Nandayus_nenday,0,0,0,1,0,0,0
,,,,,,,
Area (ha),82355,166513,153200,205800,37800,72900,27800
sp.r,33,36,50,49,38,36,36
