species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii
Asio_flammeus,1,1,1,1,1,1
Moho_braccatus,1,0,0,0,0,0
Chasiempis_sandwichensis,1,1,0,0,0,1
Myadestes_myadestinus,1,0,0,0,0,0
Myadestes_palmeri,1,0,0,0,0,0
Psittirostra_psittacea,1,1,1,1,1,1
Hemignathus_kauaiensis,1,0,0,0,0,0
Hemignathus_parvus,1,0,0,0,0,0
Hemignathus_obscurus,0,0,0,0,0,1
Hemignathus_lucidus,1,1,0,0,1,1
Oreomystis_bairdi,1,0,0,0,0,0
Loxops_caeruleirostris,1,0,0,0,0,0
Vestiaria_coccinea,1,1,1,1,1,1
Himatione_sanguinea,1,1,1,1,1,1
Moho_apicalis,0,1,0,0,0,0
Myadestes_woahensis,0,1,0,0,0,0
Hemignathus_virens,0,0,1,1,1,1
Paroreomyza_maculata,0,1,0,0,0,0
Loxops_coccineus,0,1,0,0,1,1
Moho_bishopi,0,0,1,1,1,0
Myadestes_lanaiensis,0,1,1,1,1,0
Paroreomyza_montana,0,0,1,1,1,0
Paroreomyza_flammea,0,0,1,0,0,0
Vestiaria_funerea,0,0,1,0,0,0
Palmeria_dolei,0,0,1,0,1,0
Dysmorodrepanis_munroi,0,0,0,1,0,0
Branta_sandvicensis,1,0,1,0,1,1
Pseudonestor_xanthophrys,0,0,0,0,1,0
Melamprosops_phaeosoma,0,0,0,0,1,0
Porzana_sandwichensis,0,0,0,0,0,1
Buteo_solitarius,0,0,0,0,0,1
Moho_nobilis,0,0,0,0,0,1
Chaetoptila_angustipluma,0,0,0,0,0,1
Corvus_hawaiiensis,0,0,0,0,0,1
Myadestes_obscurus,0,0,0,0,0,1
Loxioides_bailleui,0,0,0,0,0,1
Rhodacanthis_flaviceps,0,0,0,0,0,1
Rhodacanthis_palmeri,0,0,0,0,0,1
Chloridops_kona,0,0,0,0,0,1
Hemignathus_sagittirostris,0,0,0,0,0,1
Hemignathus_munroi,0,0,0,0,0,1
Oreomystis_mana,0,0,0,0,0,1
Ciridops_anna,0,0,0,0,0,1
Vestiaria_pacifica,0,0,0,0,0,1
Hemignathus_ellisana,0,1,0,0,0,0
Hemignathus_lanaiensis,0,0,1,1,1,0
Hemignathus_stejnegeri,1,0,0,0,0,0
Orthiospiza_howarthi,0,0,0,0,1,0
Hemignathus_flavus,0,1,0,0,0,0
,,,,,,
Area (ha),143460,158330,67790,35840,190330,1043400
sp.r,15,13,13,10,16,25
