species,Guam,Rota,Aguiguan,Tinian,Saipan,Medinilla,Anatahan,Sarigan,Guguan,Alamagan,Pagan,Agrihan,Asuncion,Maug,Uracas
Todiramphus_cinnamominus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collocalia_bartschi,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gallicolumba_xanthonura,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ptilinopus_roseicapilla,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gallirallus_owstoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myzomela_rubratra,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Corvus_kubaryi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhipidura_rufifrons,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Myiagra_freycineti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplonis_opaca,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Zosterops_rotensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops_conspicillatus,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Todiramphus_chloris,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Cleptornis_marchei,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Megapodius_laperouse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Monarcha_takatsukasae,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Erythrura_sp._Rota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallicolumba_sp._Rota,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Area (ha),54100,8893,700,10200,12290,90,3513,490,400,1100,4660,4690,740,200,279
sp.r,13,11,10,10,11,2,4,5,4,5,5,5,5,4,1
