species,South,North,Stewart,Great.Barrier,D.Urville,Little.Barrier,Mercury,Kapiti,Codfish,Mayor,Big.South.Cape,Hen,Cavalli,Great.King,Chetwode,Chicken,Poor.Knights,Cuvier,Stephens,Solander,Whale,Aldermen
Apteryx_mantelli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_haastii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_owenii,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_australis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadorna_variegata,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
Falco_novaeseelandiae,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Gallirallus_australis,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Porphyrio_hochstetteri,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiphaga_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0
Chrysococcyx_lucidus,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0
Eudynamys_taitensis,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Strigops_habroptila,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nestor_meridionalis,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
Nestor_notabilis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanoramphus_novaezelandiae,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1
Cyanoramphus_auriceps,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
Cyanoramphus_malherbi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninox_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
Todiramphus_sanctus,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
Acanthisitta_chloris,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Xenicus_gilviventris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthus_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bowdleria_punctata,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
Mohoua_novaeseelandiae,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohoua_albicilla,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohoua_ochrocephala,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Gerygone_igata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Rhipidura_fuliginosa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Petroica_macrocephala,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0
Petroica_australis,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Notiomystis_cincta,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthornis_melanura,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Prosthemadera_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Philesturnus_carunculatus,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Callaeas_cinereus,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chenonetta_finschi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coenocorypha_barrierensis,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coenocorypha_iredalei,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Coturnix_novaezelandiae,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heteralocha_acutirostris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sceloglaux_albifacies,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traversia_lyalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tribonyx_hodgenorum,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turnagra_capensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turnagra_tanagra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xenicus_longipes,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Area (ha),15043700,11372900,168000,28500,16782,3083,1872,1965,1396,1296,1040,610,382,392,195,138,157,170,150,100,143,48
sp.r,39,37,30,22,23,20,9,19,20,10,16,12,8,9,16,8,4,8,23,8,9,7
