species,DALBY.KA,DANMARK,DANMARKS.BERGA,GOTTSUNDA,HESTATORP,LILLA.VALLBY,LUNDBACKARNA,MaNGSBODUNGEN,SKYTTORP,TORRESTA,UBBY,VILTEKOLOGI
Carduelis_spinus,0,0,0,0,0,0,1,0,1,0,0,0
Certhia_familiaris,1,0,0,1,0,1,0,1,1,1,0,1
Columba_palumbus,1,0,0,1,1,1,1,0,0,1,1,1
Dendrocopos_major,1,0,0,1,1,1,1,1,1,1,1,0
Dryocopus_martius,0,0,0,0,0,0,0,1,0,0,0,0
Emberiza_citrinella,1,1,1,1,1,1,1,1,1,1,1,1
Erithacus_rubecula,1,1,1,1,1,1,1,1,1,1,1,1
Fringilla_coelebs,1,1,1,1,1,1,1,1,1,1,1,1
Garrulus_glandarius,0,0,0,1,0,1,0,0,0,0,1,0
Parus_ater,1,1,0,1,1,0,1,1,1,1,1,1
Parus_caeruleus,1,0,0,1,1,1,1,1,1,1,0,1
Parus_cristatus,0,0,1,0,0,1,1,0,0,0,1,1
Parus_major,1,1,1,1,1,1,1,1,1,1,1,1
Parus_palustris,1,0,1,1,1,1,1,1,0,1,1,1
Phylloscopus_trochilus,1,0,1,1,1,1,1,1,1,1,1,1
Picus_viridis,1,0,0,0,0,1,0,1,0,1,0,1
Prunella_modularis,0,1,1,1,0,1,1,0,1,0,0,0
Regulus_regulus,1,1,1,1,1,1,1,1,1,1,1,1
Sitta_europaea,1,0,0,1,1,1,1,1,1,1,1,1
Sylvia_atricapilla,1,0,0,0,0,0,1,1,1,1,0,0
Turdus_iliacus,1,0,0,1,0,0,0,1,0,1,0,0
Turdus_merula,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_philomelos,1,1,0,1,1,1,1,1,1,1,1,0
Ficedula_hypoleuca,1,0,0,1,0,1,1,1,1,1,0,1
Phylloscopus_sibilatrix,1,0,0,1,0,0,0,0,0,1,0,1
Anthus_trivialis,1,1,0,0,0,1,1,1,1,1,1,0
Carduelis_chloris,1,1,1,1,1,1,1,1,1,1,1,1
Columba_oenas,1,0,0,0,0,1,1,1,0,1,0,0
Corvus_corone,1,1,1,0,1,0,1,0,0,0,0,0
Corvus_monedula,1,0,0,0,0,1,0,0,0,0,0,0
Muscicapa_striata,1,0,0,0,0,0,1,0,1,1,0,0
Sturnus_vulgaris,1,0,0,1,0,1,0,1,1,1,0,0
Sylvia_borin,1,0,0,0,1,1,1,1,1,0,0,0
Sylvia_communis,1,0,0,0,1,1,0,0,1,0,0,0
Turdus_pilaris,1,0,0,1,0,1,0,0,0,1,0,1
Sylvia_curruca,0,0,1,0,0,1,0,0,0,0,0,0
Parus_montanus,0,0,0,0,0,0,1,0,0,0,0,0
Carduelis_cannabina,0,0,0,0,0,1,0,0,0,0,0,0
Carduelis_carduelis,0,0,0,0,0,1,0,0,0,0,0,0
Buteo_buteo,0,0,0,0,0,0,1,0,1,0,1,0
Saxicola_rubetra,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,
Area (ha),7,5.8,5.4,9.5,5.3,13.2,8.9,5.4,3.9,6,3.6,5.8
sp.r,30,12,13,23,18,30,27,24,25,26,18,19
