species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
Aimophila_mystacalis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aimophila_notosticta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Aimophila_rufescens,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Amazilia_beryllina,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Amazilia_cyanocephala,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Aphelocoma_californica,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
Atlapetes_pileatus,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Attila_spadiceus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Aulacorhynchus_prasinus,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Basileuterus_rufifrons,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
Buteo_jamaicensis,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
Buteogallus_anthracinus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Camptostoma_imberbe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carduelis_psaltria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Carpodacus_mexicanus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Catharus_aurantiirostris,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Catharus_frantzii,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Catherpes_mexicanus,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Chordeiles_acutipennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strix_virgata,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Coccothraustes_abeillei,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Colaptes_auratus,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Colibri_thalassinus,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Patagioenas_fasciata,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
Columbina_inca,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corax,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0
Cyanocorax_yncas,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Diglossa_baritula,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Geococcyx_velox,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Geothlypis_nelsoni,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Icterus_graduacauda,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0
Junco_phaeonotus,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Leptotila_verreauxi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Loxia_curvirostra,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Melanotis_caerulescens,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Micrastur_semitorquatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Myiarchus_cinerascens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myiarchus_tuberculifer,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Myiopagis_viridicata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Nyctidromus_albicollis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oriturus_superciliosus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pipilo_albicollis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Pipilo_maculatus,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Piranga_hepatica,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0
Psaltriparus_minimus,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0
Pyrocephalus_rubinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Saltator_atriceps,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sialia_sialis,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Spizella_atrogularis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spizella_passerina,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Troglodytes_aedon,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Turdus_migratorius,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Tyrannus_crassirostris,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
Vireo_leucophrys,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
Zenaida_asiatica,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Buteo_brachyurus,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
Carduelis_notata,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Eugenes_fulgens,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Cynanthus_latirostris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucidium_gnoma,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aegolius_acadicus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aphelocoma_unicolor,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chlorostilbon_auriceps,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lepidocolaptes_affinis,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Myiodynastes_luteiventris,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pachyramphus_aglaiae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Parula_pitiayumi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
