species,A,B,C,G,D,E,F,H,I,J,L,M
Theristicus_caudatus,1,1,1,1,0,1,0,1,0,0,1,0
Coragyps_atratus,1,0,1,1,1,1,1,1,1,1,1,0
Cathartes_aura,0,0,0,0,1,1,1,1,0,0,0,0
Buteo_albicaudatus,0,0,0,1,0,0,0,0,0,0,0,0
Buteo_magnirostris,1,1,1,1,1,1,1,1,1,1,0,1
Buteogallus_meridionalis,0,0,0,1,0,0,0,0,0,0,0,0
Milvago_chimachima,0,1,1,1,1,1,0,1,0,1,1,0
Caracara_plancus,1,1,1,1,1,1,1,1,1,1,1,0
Falco_femoralis,0,0,0,0,0,0,0,0,0,1,0,0
Falco_sparverius,0,0,0,0,0,1,0,0,0,0,0,0
Zenaida_auriculata,0,0,0,1,1,1,1,1,1,1,1,1
Columbina_talpacoti,0,1,0,0,1,0,1,1,1,1,0,1
Guira_guira,0,0,0,1,1,0,0,1,0,0,0,0
Tapera_naevia,0,0,1,0,0,0,0,0,0,0,1,0
Tyto_alba,0,0,0,0,0,0,0,0,1,0,0,0
Glaucidium_brasilianum,1,0,0,0,0,0,0,0,0,0,0,0
Lurocalis_semitorquatus,1,1,0,1,0,0,0,0,0,0,0,0
Colibri_serrirostris,0,1,0,0,0,0,0,0,1,0,0,1
Stephanoxis_lalandi,0,0,1,0,0,0,0,0,0,0,0,0
Chlorostilbon_lucidus,0,1,0,1,0,0,0,0,1,1,0,1
Colaptes_campestris,0,1,1,1,1,1,1,1,1,1,1,1
Melanerpes_candidus,0,0,0,0,0,0,1,0,0,0,0,0
Furnarius_rufus,0,1,1,1,1,1,1,1,1,1,0,1
Anumbius_annumbi,0,0,1,1,1,1,1,0,1,1,0,1
Xolmis_cinereus,0,0,0,0,0,0,0,0,1,0,0,0
Knipolegus_lophotes,0,0,0,0,0,0,0,0,0,0,0,1
Knipolegus_nigerrimus,0,0,0,0,0,1,0,0,0,0,0,0
Knipolegus_cyanirostris,0,0,0,1,0,0,0,0,0,0,0,0
Muscipipra_vetula,1,0,0,0,0,0,0,0,0,0,0,0
Satrapa_icterophrys,0,0,0,0,0,1,1,0,1,1,0,1
Machetornis_rixosa,0,0,0,0,0,0,0,0,1,1,0,1
Tyrannus_savana,0,1,1,0,0,0,1,1,1,1,0,1
Tyrannus_melancholicus,1,1,1,1,1,0,1,1,1,1,1,1
Empidonomus_varius,0,1,1,1,0,0,0,1,1,0,0,0
Pitangus_sulphuratus,1,1,1,1,1,1,1,1,1,1,1,1
Myiarchus_swainsoni,1,1,1,1,1,0,1,1,1,1,1,1
Myiophobus_fasciatus,0,1,0,1,1,1,1,0,1,1,1,1
Hirundinea_ferruginea,0,0,0,0,0,0,0,0,0,0,0,1
Serpophaga_subcristata,1,0,1,1,1,0,1,0,0,1,0,0
Elaenia_parvirostris,0,0,1,1,1,0,0,1,1,1,0,1
Elaenia_chiriquensis,0,0,0,1,0,0,0,0,0,0,0,0
Troglodytes_aedon,0,0,1,1,1,1,1,1,1,1,1,1
Molothrus_bonariensis,0,0,0,1,0,0,0,0,1,1,0,1
Gnorimopsar_chopi,0,1,1,1,1,1,0,0,0,0,1,1
Geothlypis_aequinoctialis,0,0,0,0,0,0,1,0,1,1,1,1
Tersina_viridis,1,1,1,1,1,1,1,1,1,1,1,0
Stephanophorus_diadematus,1,1,1,1,1,1,0,1,0,0,0,0
Thraupis_bonariensis,0,0,0,0,0,0,0,1,0,0,0,1
Volatinia_jacarina,0,0,0,0,0,0,0,0,0,1,0,1
Sporophila_caerulescens,0,0,1,0,1,0,1,1,1,0,1,1
Sicalis_flaveola,0,0,1,1,0,0,1,0,1,1,0,1
Zonotrichia_capensis,1,1,1,1,1,1,1,1,1,1,1,1
Poospiza_lateralis,1,0,1,1,1,1,1,1,1,1,0,0
Carduelis_magellanica,1,1,1,1,1,1,1,1,1,1,0,1
Herpetotheres_cachinnans,0,1,0,0,0,0,0,0,0,0,0,0
Patagioenas_maculosa,0,0,1,0,0,0,0,0,0,0,0,0
Leptotila_verreauxi,1,1,1,1,1,0,1,0,1,1,1,1
Pionus_maximiliani,1,1,1,1,0,0,0,1,0,0,1,0
Amazona_aestiva,0,1,1,1,0,0,0,0,1,1,0,0
Piaya_cayana,1,1,1,0,1,1,1,1,1,0,1,0
Megascops_choliba,0,0,0,0,1,0,0,1,0,0,0,0
Phaethornis_pretrei,1,1,1,0,0,0,0,0,0,0,0,0
Leucochloris_albicollis,1,1,1,1,1,0,1,1,1,0,0,0
Ramphastos_dicolorus,1,1,1,0,0,0,0,0,0,0,0,0
Colaptes_melanochloros,1,1,1,0,0,0,0,0,0,0,0,0
Dryocopus_lineatus,1,0,0,0,0,0,0,0,0,0,0,0
Melanerpes_flavifrons,1,1,0,0,0,0,0,0,0,0,0,0
Sittasomus_griseicapillus,1,1,1,1,1,1,0,0,0,0,0,0
Dendrocolaptes_platyrostris,1,1,1,1,1,1,0,0,0,0,1,0
Lepidocolaptes_angustirostris,1,1,1,1,0,0,0,0,0,0,0,0
Synallaxis_spixi,0,0,1,1,1,0,1,1,1,0,0,1
Dysithamnus_mentalis,1,1,1,1,0,0,0,0,0,0,0,0
Pachyramphus_viridis,1,0,0,0,0,0,0,0,0,0,0,0
Pachyramphus_castaneus,1,1,0,0,0,0,0,0,0,0,0,0
Pachyramphus_polychopterus,1,1,1,1,1,1,1,1,1,1,1,0
Megarynchus_pitangua,1,0,0,0,0,0,0,0,0,1,0,0
Myiodynastes_maculatus,1,1,1,1,1,0,0,1,0,0,1,1
Cnemotriccus_fuscatus,1,1,1,1,0,0,0,0,0,0,0,0
Tolmomyias_sulphurescens,1,1,0,0,0,0,0,0,0,0,0,0
Poecilotriccus_plumbeiceps,1,0,0,0,1,1,0,1,0,0,0,0
Camptostoma_obsoletum,1,1,1,1,1,1,1,1,1,0,1,1
Turdus_flavipes,0,1,0,0,0,0,0,1,1,0,0,0
Turdus_subalaris,0,0,1,1,1,0,0,1,1,1,0,0
Turdus_rufiventris,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_amaurochalinus,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_albicollis,1,1,1,1,1,1,1,1,1,0,1,0
Cyclarhis_gujanensis,1,1,1,1,1,1,1,1,1,1,1,1
Pipraeidea_melanonota,1,1,1,1,0,1,1,1,0,1,0,0
Tangara_preciosa,1,1,1,0,0,0,0,0,0,0,0,0
Thraupis_sayaca,1,1,1,1,1,0,1,1,1,1,1,1
Hemithraupis_ruficapilla,1,0,0,0,0,0,0,0,0,0,0,0
Patagioenas_picazuro,1,1,1,1,1,1,1,1,1,1,1,1
Patagioenas_cayennensis,1,1,1,1,0,0,0,1,0,0,0,0
Forpus_xanthopterygius,1,0,0,0,0,0,0,0,0,0,0,0
Strix_hylophila,0,1,0,1,0,0,0,0,0,0,0,0
Phylloscartes_ventralis,1,1,1,1,1,1,1,1,1,1,1,1
Elaenia_mesoleuca,1,1,1,1,1,0,1,1,1,1,1,1
Elaenia_obscura,0,1,1,1,1,0,0,1,0,0,0,0
Saltator_similis,1,1,1,1,1,1,1,1,1,1,1,1
Crypturellus_obsoletus,1,1,1,0,0,0,0,0,0,0,0,0
Micrastur_ruficollis,1,0,0,0,0,0,0,0,0,0,0,0
Penelope_obscura,1,1,1,1,1,1,1,1,1,1,1,0
Odontophorus_capueira,1,1,1,0,0,0,0,0,0,0,0,0
Aramides_saracura,1,1,0,0,1,0,0,0,0,0,0,0
Patagioenas_speciosa,0,1,0,0,0,0,0,0,0,0,0,0
Patagioenas_plumbea,1,1,0,0,0,0,0,0,0,0,0,0
Leptotila_rufaxilla,1,1,1,1,0,0,1,0,1,1,1,0
Geotrygon_montana,1,1,0,0,0,0,0,0,0,0,0,0
Pyrrhura_frontalis,1,1,1,1,1,1,0,0,0,0,1,0
Brotogeris_tirica,1,1,1,0,0,0,0,0,0,0,0,0
Pionopsitta_pileata,1,0,1,0,0,1,0,0,0,0,0,0
Amazona_vinacea,1,0,1,1,0,0,0,0,0,0,0,0
Coccyzus_americanus,1,1,0,0,0,0,0,0,0,0,0,0
Thalurania_glaucopis,1,1,1,0,0,0,0,0,0,0,0,0
Trogon_rufus,1,1,0,0,0,0,0,0,0,0,0,0
Trogon_surrucura,1,1,1,0,1,0,0,0,0,0,0,0
Picumnus_nebulosus,1,0,1,1,1,1,0,1,0,0,0,0
Picumnus_temminckii,1,1,1,1,1,1,1,0,0,0,0,0
Piculus_aurulentus,1,1,1,1,1,1,1,0,0,0,1,0
Veniliornis_spilogaster,1,1,1,1,1,1,1,1,1,1,1,0
Xiphocolaptes_albicollis,1,1,0,0,0,0,0,0,0,0,0,0
Lepidocolaptes_squamatus,1,1,1,1,1,1,1,1,0,0,1,1
Xiphorhynchus_fuscus,1,1,1,1,0,0,0,0,0,0,0,0
Leptasthenura_striolata,1,1,1,1,0,0,0,0,0,0,0,0
Leptasthenura_setaria,1,1,1,1,1,1,1,0,1,0,0,0
Synallaxis_ruficapilla,1,1,0,0,1,0,0,0,0,0,0,0
Synallaxis_cinerascens,1,1,1,1,0,0,0,0,1,1,0,0
Cranioleuca_obsoleta,1,1,1,1,1,1,1,1,1,1,1,1
Cranioleuca_pallida,1,1,1,1,0,0,0,1,0,1,0,0
Syndactyla_rufosuperciliata,1,1,1,1,1,1,1,1,1,1,1,0
Anabacerthia_amaurotis,1,1,1,1,0,0,0,0,0,0,0,0
Philydor_rufum,1,1,1,0,0,0,0,0,0,0,0,0
Heliobletus_contaminatus,1,1,1,0,1,1,0,0,0,0,0,0
Xenops_rutilans,1,1,1,0,0,0,0,0,0,0,0,0
Xenops_minutus,1,1,0,0,0,0,0,0,0,0,0,0
Sclerurus_scansor,1,1,0,0,0,0,0,0,0,0,1,0
Batara_cinerea,1,0,0,0,0,0,0,0,0,0,0,0
Mackenziaena_leachii,1,1,0,0,0,0,0,0,0,0,0,0
Biatas_nigropectus,1,0,0,0,0,0,0,0,0,0,0,0
Thamnophilus_caerulescens,1,1,1,1,1,1,1,1,1,1,1,1
Drymophila_malura,1,1,0,0,0,0,0,0,0,0,0,0
Pyriglena_leucoptera,1,1,0,0,0,0,0,0,0,0,0,0
Chamaeza_campanisona,1,1,0,0,0,0,0,0,0,0,0,0
Chamaeza_ruficauda,1,1,0,0,0,0,0,0,0,0,0,0
Hylopezus_nattereri,1,1,0,0,0,0,0,0,0,0,0,0
Conopophaga_lineata,1,1,0,1,1,1,1,0,1,0,1,0
