species,Tapirai...Alce,Tapirai...Antenorfrag,Tapirai...Baleia,Tapirai...Bicudinho,Tapirai...Cristo,Tapirai...Dn.Ivone,Tapirai...Eme,Tapirai...Estrada,Tapirai...Fuzue,Tapirai...Haras,Tapirai...Jeanzao,Tapirai...Jeanzinho,Tapirai...Linha,Tapirai...Medico,Tapirai...Odorico,Tapirai...Osasco,Tapirai...Professor,Tapirai...Teomar,Tapirai...Torres
Basileuterus_culicivorus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Basileuterus_leucoblepharus,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
Chiroxiphia_caudata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Conopophaga_lineata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dendrocolaptes_platyrostris,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1
Drymophila_malura,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dysithamnus_mentalis,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Hemitriccus_diops,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hylophilus_poicilotis,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Lathrotriccus_euleri,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
Xiphorhynchus_fuscus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leptopogon_amaurocephalus,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0
Mionectes_rufiventris,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0
Phaethornis_eurynome,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Platyrinchus_mystaceus,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Pyriglena_leucoptera,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Saltator_similis,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
Sclerurus_scansor,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1
Sittasomus_griseicapillus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Synallaxis_ruficapilla,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Syndactyla_rufosuperciliata,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1
Tachyphonus_coronatus,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0
Thamnophilus_caerulescens,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
Tolmomyias_sulphurescens,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0
Trichothraupis_melanops,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_albicollis,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_rufiventris,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
Schiffornis_virescens,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
Veniliornis_spilogaster,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Leptotila_rufaxilla,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Thalurania_glaucopis,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Turdus_amaurochalinus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotila_verreauxi,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
Pipraeidea_melanonota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Xenops_minutus,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Xiphocolaptes_albicollis,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Myrmeciza_squamosa,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0
Automolus_leucophthalmus,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Batara_cinerea,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Attila_rufus,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
Haplospiza_unicolor,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
Tangara_desmaresti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Myiobius_barbatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Turdus_flavipes,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Florisuga_fusca,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cyclarhis_gujanensis,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Turdus_leucomelas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cnemotriccus_fuscatus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
