species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
Streptopelia_turtur,1,1,1,0,0,0,0,0,0,0,0,0,0
Upupa_epops,1,0,0,0,0,0,0,0,0,0,0,0,0
Jynx_torquilla,1,0,1,0,0,0,0,0,0,0,0,0,0
Dendrocopos_major,1,0,0,0,0,0,0,0,0,0,0,0,0
Troglodytes_troglodytes,1,1,1,1,0,1,1,0,1,0,0,0,0
Erithacus_rubecula,1,1,1,1,1,1,0,0,0,0,0,0,1
Luscinia_megarhynchos,1,1,1,1,1,1,1,1,1,1,0,1,0
Turdus_merula,1,1,0,0,0,0,0,0,0,0,0,0,0
Cettia_cetti,0,1,0,0,0,0,0,0,0,0,0,0,0
Sylvia_melanocephala,1,0,0,0,0,1,0,0,0,0,0,1,0
Sylvia_atricapilla,1,1,1,1,1,1,1,1,1,1,1,1,0
Phylloscopus_trochilus,0,0,0,0,0,0,0,1,1,1,0,0,1
Phylloscopus_collybita,1,0,1,1,1,1,0,1,0,0,0,0,0
Phylloscopus_sibilatrix,0,0,0,0,0,0,1,0,0,0,1,0,0
Regulus_ignicapilla,1,1,0,1,0,1,0,0,0,0,0,0,0
Aegithalos_caudatus,1,1,1,1,0,0,0,1,0,0,0,1,0
Parus_caeruleus,1,1,1,1,1,1,1,0,0,0,0,0,1
Parus_major,1,1,1,1,1,0,1,0,0,0,0,1,0
Sitta_europaea,1,0,0,0,0,0,0,0,0,0,0,0,0
Certhia_brachydactyla,1,0,1,1,1,1,0,0,0,1,0,0,0
Oriolus_oriolus,1,1,1,0,1,0,0,0,0,0,0,0,0
Sturnus_vulgaris,1,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corone,1,1,1,0,0,0,0,0,0,0,0,0,0
Fringilla_coelebs,1,1,1,1,1,0,0,1,0,0,0,0,0
Serinus_serinus,1,1,1,1,1,1,1,1,1,1,1,1,1
Carduelis_chloris,1,1,1,1,1,1,1,1,1,1,0,0,0
Carduelis_carduelis,1,1,1,1,1,1,0,1,1,0,0,0,0
Emberiza_cirlus,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
Area (ha),525.64,298.72,128.2,10.97,8.4,1.7,0.56,0.45,0.43,0.26,0.18,0.17,0.12
sp.r,25,17,17,14,12,12,8,9,7,6,3,6,4
