species,HI,FA,PG,FC,FB,FI,FH,FO,FN,FD,FE,FM,FG,FJ
Herpetotheres_cachinnans,0,1,1,0,1,1,1,1,0,1,0,1,0,0
Ictinia_plumbea,0,1,0,0,0,1,1,1,0,1,1,1,1,1
Patagioenas_picazuro,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Patagioenas_cayennensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pionus_maximiliani,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Aratinga_auricapillus,0,0,1,0,1,1,0,0,1,0,0,0,0,1
Euphonia_chlorotica,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Aratinga_leucophthalma,0,1,1,1,0,1,0,0,1,0,0,0,1,1
Dacnis_cayana,0,0,0,0,0,1,1,1,1,1,0,1,1,1
Tityra_inquisitor,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Pteroglossus_aracari,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dysithamnus_mentalis,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Leptopogon_amaurocephalus,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Capsiempis_flaveola,0,1,1,1,1,1,1,1,1,1,0,1,1,1
Philydor_lichtensteini,0,1,1,0,1,1,0,0,1,1,1,1,1,1
Myiornis_auricularis,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Thamnophilus_doliatus,1,0,0,1,0,1,0,1,1,1,1,0,0,0
Hemitriccus_diops,0,1,0,1,0,1,1,0,0,0,0,0,1,0
Leptotila_verreauxi,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Selenidera_maculirostris,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Penelope_superciliaris,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Piprites_chloris,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Mackenziaena_severa,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Psilorhamphus_guttatus,0,1,1,1,1,1,1,0,0,1,0,0,1,1
Sirystes_sibilator,1,0,1,0,1,1,0,0,1,1,1,1,1,1
Corythopis_delalandi,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Empidonomus_varius,0,1,0,0,0,1,0,1,0,1,1,1,1,1
Cnemotriccus_fuscatus,0,0,0,0,0,0,1,1,1,0,0,0,0,1
