species,Espanola,Floreana,San.Cristobal,Santa.Fe,Santa.Cruz,Baltra.Seymour,Pinzon,Isabela,Fernandina,Santiago1,Genovesa
Asio_flammeus,1,1,1,1,1,1,1,1,0,1,1
Zenaida_galapagoensis,1,1,1,1,1,1,1,1,1,1,1
Buteo_galapagoensis,1,0,0,1,0,0,1,1,1,1,0
Myiarchus_magnirostris,1,1,1,1,1,1,1,1,1,1,0
Mimus_macdonaldi,1,0,0,0,0,0,0,0,0,0,0
Dendroica_petechia,1,1,1,1,1,1,1,1,1,1,1
Geospiza_fuliginosa,1,1,1,1,1,1,1,1,1,1,0
Geospiza_conirostris,1,0,0,0,0,0,0,0,0,0,1
Certhidea_olivacea,1,1,1,1,1,1,1,1,1,1,1
Coccyzus_melacoryphus,0,1,1,0,1,0,0,1,1,1,0
Bubulcus_ibis,0,1,1,0,1,0,0,1,0,0,0
Pyrocephalus_rubinus,0,1,0,0,1,0,1,1,1,1,0
Progne_modesta,0,1,1,1,1,1,1,1,1,1,0
Geospiza_fortis,0,1,1,1,1,1,1,1,1,1,0
Geospiza_scandens,0,1,1,1,1,1,0,1,0,1,0
Platyspiza_crassirostris,0,1,1,0,1,0,0,1,1,1,0
Camarhynchus_psittacula,0,0,0,1,1,0,0,1,1,1,0
Camarhynchus_pauper,0,1,0,0,0,0,0,0,0,0,0
Camarhynchus_parvulus,0,1,1,1,1,1,1,1,1,1,0
Tyto_alba,0,0,1,0,1,0,0,1,1,1,0
Mimus_melanotis,0,0,1,0,0,0,0,0,0,0,0
Camarhynchus_pallidus,0,0,1,0,1,0,1,1,1,1,0
Mimus_parvulus,0,0,0,1,1,1,0,1,1,1,1
Laterallus_spilonotus,0,0,0,0,1,0,0,1,1,1,1
Geospiza_magnirostris,0,0,0,0,1,1,1,1,1,1,1
Camarhynchus_heliobates,0,0,0,0,0,0,0,1,0,0,0
Geospiza_difficilis,0,0,0,0,0,0,0,0,1,1,1
,,,,,,,,,,,
Area (ha),5827,17803,54660,2408,97930,2693,1795,471130,62850,57710,1538
sp.r,9,15,16,13,20,12,13,22,19,21,9
