species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii
Asio_flammeus,1,1,1,1,1,1
Chasiempis_sandwichensis,1,1,0,0,0,1
Myadestes_obscurus,0,0,0,0,0,1
Myadestes_palmeri,1,0,0,0,0,0
Psittirostra_psittacea,1,0,0,0,0,1
Hemignathus_kauaiensis,1,0,0,0,0,0
Hemignathus_parvus,1,0,0,0,0,0
Oreomystis_bairdi,1,0,0,0,0,0
Loxops_caeruleirostris,1,0,0,0,0,0
Vestiaria_coccinea,1,1,1,0,1,1
Himatione_sanguinea,1,1,1,1,1,1
Hemignathus_virens,0,0,1,0,1,1
Myadestes_lanaiensis,0,0,1,0,0,0
Branta_sandvicensis,1,0,1,0,1,1
Pseudonestor_xanthophrys,0,0,0,0,1,0
Paroreomyza_montana,0,0,0,0,1,0
Palmeria_dolei,0,0,0,0,1,0
Buteo_solitarius,0,0,0,0,0,1
Loxioides_bailleui,0,0,0,0,0,1
Hemignathus_munroi,0,0,0,0,0,1
Oreomystis_mana,0,0,0,0,0,1
Loxops_coccineus,0,0,0,0,0,1
Hemignathus_flavus,0,1,0,0,0,0
,,,,,,
Area (ha),143460,158330,67790,35840,190330,1043400
sp.r,11,5,6,2,8,13
