species,Guam,Rota,Aguiguan,Tinian,Saipan,Medinilla,Anatahan,Sarigan,Guguan,Alamagan,Pagan,Agrihan,Asuncion,Maug,Uracas
Collocalia_bartschi,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Corvus_kubaryi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplonis_opaca,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Todiramphus_chloris,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Gallicolumba_xanthonura,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ptilinopus_roseicapilla,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Myzomela_rubratra,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Rhipidura_rufifrons,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Zosterops_rotensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops_conspicillatus,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Cleptornis_marchei,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Megapodius_laperouse,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Monarcha_takatsukasae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Area (ha),54100,8893,700,10200,12290,90,3513,490,400,1100,4660,4690,740,200,279
sp.r,2,8,10,9,10,2,4,6,4,5,5,5,5,4,1
