species,Corvo,Flores,Faial,Pico,Graciosa,Sao.Jorge,Terceira,Sao.Miguel,Santa.Maria
Coturnix_coturnix,0,0,1,1,1,1,1,1,1
Buteo_buteo,0,0,1,1,1,1,1,1,1
Scolopax_rusticola,1,1,1,1,0,1,1,1,0
Columba_palumbus,1,1,1,1,1,1,1,1,1
Asio_otus,0,0,1,1,1,1,1,1,0
Erithacus_rubecula,0,0,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1
Sylvia_atricapilla,1,1,1,1,1,1,1,1,1
Regulus_regulus,0,1,1,1,0,1,1,1,1
Sturnus_vulgaris,1,1,1,1,1,1,1,1,1
Fringilla_coelebs,1,1,1,1,1,1,1,1,1
Serinus_canaria,1,1,1,1,1,1,1,1,1
Pyrrhula_murina,0,0,0,0,0,0,0,1,0
,,,,,,,,,
Area (ha),1700,14300,17300,44600,6100,24600,40100,75700,9700
sp.r,7,8,12,12,10,12,12,13,10
