species,South,North,Stewart,Great.Barrier,D.Urville,Little.Barrier,Mercury,Kapiti,Codfish,Mayor,Big.South.Cape,Hen,Cavalli,Great.King,Chetwode,Chicken,Poor.Knights,Cuvier,Stephens,Solander,Whale,Aldermen
Apteryx_mantelli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_haastii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_owenii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apteryx_australis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadorna_variegata,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
Falco_novaeseelandiae,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Gallirallus_australis,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Porphyrio_hochstetteri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanellus_miles,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiphaga_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0
Chrysococcyx_lucidus,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0
Eudynamys_taitensis,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Nestor_meridionalis,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
Nestor_notabilis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanoramphus_novaezelandiae,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1
Cyanoramphus_auriceps,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
Cyanoramphus_malherbi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninox_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
Todiramphus_sanctus,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
Acanthisitta_chloris,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Xenicus_gilviventris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthus_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bowdleria_punctata,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohoua_novaeseelandiae,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohoua_albicilla,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohoua_ochrocephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerygone_igata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Rhipidura_fuliginosa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Petroica_macrocephala,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0
Petroica_australis,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Zosterops_lateralis,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1
Notiomystis_cincta,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthornis_melanura,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Prosthemadera_novaeseelandiae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Philesturnus_carunculatus,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Callaeas_cinereus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Area (ha),15043700,11372900,168000,28500,16782,3083,1872,1965,1396,1296,1040,610,382,392,195,138,157,170,150,100,143,48
sp.r,30,27,24,18,20,20,10,19,20,11,14,13,9,8,16,8,4,9,18,9,9,7
