species,Santiago2,Fogo,Brava,San.Antao,S.Vicente,S.Luzia,Branco,Raso,S.Nicolau,Sal,Boavista,Maio,Extinct
Coturnix_coturnix,1,1,1,1,1,0,0,1,1,1,1,1,N
Halcyon_leucocephala,1,1,1,0,0,0,0,0,0,0,0,0,N
Apus_alexandri,1,1,1,1,0,0,0,0,1,0,0,0,N
Tyto_alba,1,1,1,1,0,0,1,1,1,0,1,1,N
Charadrius_alexandrinus,1,0,0,0,1,0,0,0,0,1,1,1,N
Cursorius_cursor,1,0,0,0,1,0,0,0,1,1,1,1,N
Pandion_haliaetus,1,1,1,1,1,1,1,1,1,1,1,1,N
Milvus_milvus,1,0,1,1,1,0,0,0,1,0,0,0,N
Milvus_migrans,0,0,0,0,0,0,0,0,0,0,1,1,N
Neophron_percnopterus,1,1,1,1,1,0,0,0,1,0,1,1,N
Buteo_buteo,1,0,0,1,0,0,0,0,1,0,1,0,N
Falco_tinnunculus,1,1,1,1,1,1,1,1,1,1,1,1,N
Falco_peregrinus,1,0,1,0,0,0,0,0,1,0,0,0,N
Phaethon_aethereus,1,1,1,1,0,0,0,1,1,1,1,0,N
Sula_leucogaster,1,0,1,0,1,0,0,1,1,1,1,0,N
Egretta_garzetta,1,1,1,1,1,1,1,1,1,1,1,1,N
Ardea_purpurea,1,0,0,0,0,0,0,0,0,0,0,0,N
Pterodroma_feae,1,1,0,1,0,0,0,0,1,0,0,0,N
Calonectris_diomedea,1,0,1,0,0,0,1,1,1,0,0,0,N
Puffinus_assimilis,1,1,1,1,1,1,1,1,1,1,1,0,N
Corvus_ruficollis,1,1,1,1,1,1,1,1,1,1,1,1,N
Acrocephalus_brevipennis,1,1,1,0,0,0,0,0,1,0,0,0,N
Sylvia_atricapilla,1,1,1,1,1,0,0,0,1,0,0,0,N
Sylvia_conspicillata,1,1,1,1,1,0,0,0,1,0,1,1,N
Eremopterix_nigriceps,1,1,0,0,0,0,0,0,0,0,1,1,N
Ammomanes_cinctura,1,1,0,0,0,0,0,0,1,1,1,1,N
Passer_iagoensis,1,0,1,1,1,1,0,1,1,1,1,1,N
Bulweria_bulwerii,0,0,0,0,0,0,1,1,0,0,0,0,N
Pelagodroma_marina,0,0,0,0,0,1,1,0,0,0,1,1,N
Oceanodroma_castro,1,0,0,1,0,1,1,1,1,0,0,0,N
Alauda_razae,0,0,0,0,0,0,0,1,0,0,0,0,N
Himantopus_himantopus,0,0,0,0,0,0,0,0,0,1,0,0,N
Fregata_magnificens,0,0,0,1,0,0,0,0,1,0,1,0,N
Alaemon_alaudipes,0,0,0,0,0,0,0,0,0,0,1,1,N
Gallinula_chloropus,1,0,0,0,0,0,0,0,0,0,1,0,N
,,,,,,,,,,,,,
Area (ha),100957,47480,6660,78730,23280,3670,294,700,35220,22150,63410,27900,
sp.r,28,17,19,18,14,8,10,14,24,13,22,16,
