species,Penrhyn,Rakahanga,Manihiki,Pukapuka,Nassau,Suwarrow,Palmerston,Aitutaki,Manuae,Takutea,Atiu,Mitiaro,Mauke,Rarotonga,Mangaia,Extinct
Sterna_fuscata,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N
Anous_stolidus,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,N
Anous_minutus,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,N
Procelsterna_cerulea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
Gygis_alba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N
Phaethon_rubricauda,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,N
Sula_sula,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,N
Sula_leucogaster,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,N
Fregata_ariel,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,N
Sterna_sumatrana,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
Ducula_pacifica,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,N
Sula_dactylatra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N
Egretta_sacra,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,N
Anas_superciliosa,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,N
Ptilinopus_rarotongensis,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,N
Phaethon_lepturus,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,N
Fregata_minor,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,N
Todiramphus_tutus,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,N
Collocalia_sawtelli,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N
Porzana_tabuensis,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,N
Acrocephalus_kerearako,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,N
Aplonis_mavornata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Y
Pomarea_dimidiata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
Aplonis_cinerascens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
Todiramphus_ruficollaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
Puffinus_lherminieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
Vini_kuhlii,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,N
,,,,,,,,,,,,,,,,
Area (ha),980,400,520,500,120,170,260,1650,740,130,2910,2280,1970,6760,3450,
sp.r,9,4,5,7,2,12,5,7,4,8,9,10,9,12,13,
