species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii,Extinct
Anas_wyvilliana,1,1,1,0,1,1,N
Asio_flammeus,1,1,1,1,1,1,N
Gallinula_chloropus,1,1,1,0,1,1,N
Fulica_alai,1,1,1,0,1,1,N
Himantopus_mexicanus,1,1,1,0,1,1,N
Anous_minutus,1,0,1,1,1,1,N
Phaethon_rubricauda,1,1,0,1,0,0,N
Phaethon_lepturus,1,1,1,1,1,1,N
Sula_sula,1,1,0,0,0,0,N
Nycticorax_nycticorax,1,1,1,1,1,1,N
Puffinus_pacificus,1,1,1,1,1,1,N
Puffinus_newelli,1,0,1,0,0,1,N
Phoebastria_immutabilis,1,1,0,0,0,0,N
Oceanodroma_castro,1,0,0,0,0,1,N
Moho_braccatus,1,0,0,0,0,0,Y
Chasiempis_sandwichensis,1,1,0,0,0,1,N
Myadestes_myadestinus,1,0,0,0,0,0,Y
Myadestes_palmeri,1,0,0,0,0,0,N
Psittirostra_psittacea,1,1,1,1,1,1,N
Hemignathus_kauaiensis,1,0,0,0,0,0,N
Hemignathus_parvus,1,0,0,0,0,0,N
Hemignathus_obscurus,0,0,0,0,0,1,Y
Hemignathus_lucidus,1,1,0,0,1,1,Y
Oreomystis_bairdi,1,0,0,0,0,0,N
Loxops_caeruleirostris,1,0,0,0,0,0,N
Vestiaria_coccinea,1,1,1,1,1,1,N
Himatione_sanguinea,1,1,1,1,1,1,N
Gygis_alba,0,1,0,0,0,0,N
Moho_apicalis,0,1,0,0,0,0,Y
Myadestes_woahensis,0,1,0,0,0,0,Y
Hemignathus_virens,0,0,1,1,1,1,N
Paroreomyza_maculata,0,1,0,0,0,0,Y
Loxops_coccineus,0,1,0,0,1,1,N
Moho_bishopi,0,0,1,1,1,0,Y
Myadestes_lanaiensis,0,1,1,1,1,0,N
Paroreomyza_montana,0,0,1,1,1,0,N
Paroreomyza_flammea,0,0,1,0,0,0,Y
Vestiaria_funerea,0,0,1,0,0,0,Y
Palmeria_dolei,0,0,1,0,1,0,N
Pterodroma_sandwichensis,1,0,0,1,1,1,N
Dysmorodrepanis_munroi,0,0,0,1,0,0,Y
Branta_sandvicensis,1,0,1,0,1,1,N
Pseudonestor_xanthophrys,0,0,0,0,1,0,N
Melamprosops_phaeosoma,0,0,0,0,1,0,N
Porzana_sandwichensis,0,0,0,0,0,1,Y
Buteo_solitarius,0,0,0,0,0,1,N
Moho_nobilis,0,0,0,0,0,1,Y
Chaetoptila_angustipluma,0,0,0,0,0,1,Y
Corvus_hawaiiensis,0,0,0,0,0,1,Y
Myadestes_obscurus,0,0,0,0,0,1,N
Loxioides_bailleui,0,0,0,0,0,1,N
Rhodacanthis_flaviceps,0,0,0,0,0,1,Y
Rhodacanthis_palmeri,0,0,0,0,0,1,Y
Chloridops_kona,0,0,0,0,0,1,Y
Hemignathus_sagittirostris,0,0,0,0,0,1,Y
Hemignathus_munroi,0,0,0,0,0,1,N
Oreomystis_mana,0,0,0,0,0,1,N
Ciridops_anna,0,0,0,0,0,1,Y
Vestiaria_pacifica,0,0,0,0,0,1,Y
Hemignathus_ellisana,0,1,0,0,0,0,Y
Hemignathus_lanaiensis,0,0,1,1,1,0,Y
Hemignathus_stejnegeri,1,0,0,0,0,0,Y
Orthiospiza_howarthi,0,0,0,0,1,0,Y
Hemignathus_flavus,0,1,0,0,0,0,N
,,,,,,,
Area (ha),143460,158330,67790,35840,190330,1043400,
sp.r,29,24,22,16,25,36,
