species,Anguilla,St.Martin,St.Barthelemy,Saba,St.Eustacius,Monserrat,Guadeloupe,Dominica,Martinique,St.Lucia,Barbados,Grenada,Extinct
Anas_bahamensis,1,1,1,0,0,0,0,0,0,0,0,0,N
Coccyzus_minor,1,1,1,0,0,1,1,1,1,1,0,1,N
Eulampis_holosericeus,1,1,1,1,1,1,1,1,1,1,1,1,N
Orthorhyncus_cristatus,1,1,1,1,1,1,1,1,1,1,1,1,N
Patagioenas_leucocephala,1,1,1,0,0,0,1,0,0,0,0,0,N
Patagioenas_squamosa,1,1,1,1,1,1,1,1,1,1,1,1,N
Columbina_passerina,1,1,1,1,1,1,1,1,1,1,1,1,N
Gallinula_chloropus,1,1,1,0,0,1,1,1,1,1,1,0,N
Haematopus_palliatus,1,1,1,0,0,0,0,0,0,0,1,0,N
Himantopus_mexicanus,1,1,1,0,0,1,1,1,1,0,1,0,N
Charadrius_alexandrinus,1,1,1,0,0,0,0,0,0,0,0,0,N
Larus_atricilla,1,1,1,0,0,0,1,0,0,0,1,1,N
Sterna_maxima,1,0,0,0,0,0,0,0,0,0,0,0,N
Sterna_antillarum,1,1,1,0,0,0,0,0,0,0,0,0,N
Falco_sparverius,1,1,1,1,1,1,1,1,1,1,0,1,N
Podilymbus_podiceps,1,0,1,0,0,0,0,0,0,0,1,0,N
Phaethon_aethereus,1,1,0,1,1,1,1,1,1,1,1,1,N
Phaethon_lepturus,1,1,0,1,1,0,1,1,1,0,0,0,N
Egretta_caerulea,1,1,1,0,0,0,1,1,1,1,1,1,N
Butorides_virescens,1,1,1,1,1,1,1,1,1,1,1,1,N
Nyctanassa_violacea,1,1,1,0,1,1,1,1,1,1,0,0,N
Pelecanus_occidentalis,1,1,1,0,0,1,0,0,0,0,0,0,N
Elaenia_martinica,1,1,1,1,1,1,1,1,1,1,1,1,N
Tyrannus_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1,N
Vireo_altiloquus,1,1,1,1,1,1,1,1,1,1,1,1,N
Margarops_fuscatus,1,1,1,1,1,1,1,1,1,1,1,0,N
Progne_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1,N
Dendroica_petechia,1,1,1,0,1,1,1,1,1,1,1,0,N
Coereba_flaveola,1,1,1,1,1,1,1,1,1,1,1,1,N
Tiaris_bicolor,1,1,1,1,1,1,1,1,1,1,1,1,N
Loxigilla_noctis,1,1,1,1,1,1,1,1,1,1,1,1,N
Quiscalus_lugubris,0,0,0,0,0,1,1,1,1,1,1,1,N
Charadrius_wilsonia,0,1,1,0,0,0,0,0,0,0,0,1,N
Buteo_jamaicensis,0,1,1,1,1,0,0,0,0,0,0,0,N
Egretta_thula,0,1,0,0,0,0,1,0,0,0,1,0,N
Eulampis_jugularis,0,0,1,1,1,1,1,1,1,1,0,1,N
Geotrygon_mystacea,0,1,0,1,1,1,1,1,1,1,0,0,N
Porphyrio_martinica,0,0,1,0,0,1,0,0,1,0,1,0,N
Margarops_fuscus,0,0,1,1,1,1,1,1,1,1,1,1,N
Crotophaga_ani,0,0,0,0,1,1,1,1,1,1,0,1,N
Cinclocerthia_ruficauda,0,0,0,1,0,1,1,1,0,0,0,1,N
Euphonia_musica,0,0,0,1,0,1,1,1,1,1,0,1,N
Turdus_lherminieri,0,0,0,0,0,1,1,1,0,1,0,0,N
Icterus_oberi,0,0,0,0,0,1,0,0,0,0,0,0,N
Melanerpes_herminieri,0,0,0,0,0,0,1,0,0,0,0,0,N
Megaceryle_torquata,0,0,0,0,0,0,1,1,1,0,0,0,N
Cypseloides_niger,0,0,0,0,0,1,1,1,1,1,1,1,N
Chaetura_martinica,0,0,0,0,0,0,1,1,1,1,0,0,N
Athene_cunicularia,0,0,0,0,0,0,1,0,0,0,0,0,N
Geotrygon_montana,0,0,0,0,0,0,1,1,1,1,0,1,N
Rallus_longirostris,0,0,0,0,0,0,1,0,1,0,0,0,N
Casmerodius_albus,0,0,0,0,0,0,1,0,0,0,0,0,N
Ixobrychus_exilis,0,0,0,0,0,0,1,0,0,0,0,0,N
Pterodroma_hasitata,0,0,0,0,0,0,1,1,0,0,0,0,N
Contopus_latirostris,0,0,0,0,0,0,1,1,1,1,0,0,N
Myiarchus_oberi,0,0,0,0,0,0,1,1,1,1,0,0,N
Mimus_gilvus,0,0,0,0,0,0,1,1,1,1,0,1,N
Troglodytes_aedon,0,0,0,0,0,0,1,1,1,1,0,1,N
Dendroica_plumbea,0,0,0,0,0,0,1,1,0,0,0,0,N
Saltator_albicollis,0,0,0,0,0,0,1,1,1,1,0,0,N
Amazona_vinacea,0,0,0,0,0,0,1,0,0,0,0,0,N
Ara_guadeloupensis,0,0,0,0,0,0,1,0,1,0,0,0,Y
Aratinga_labati,0,0,0,0,0,0,1,0,0,0,0,0,Y
Amazona_arausiaca,0,0,0,0,0,0,0,1,0,0,0,0,N
Amazona_imperialis,0,0,0,0,0,0,0,1,0,0,0,0,N
Cyanophaia_bicolor,0,0,0,0,0,0,0,1,1,0,0,0,N
Tyto_alba,0,0,0,0,0,0,0,1,0,0,0,1,N
Buteo_platypterus,0,0,0,0,0,0,0,1,1,1,0,1,N
Myadestes_genibarbis,0,0,0,0,0,0,0,1,1,1,0,0,N
Turdus_plumbeus,0,0,0,0,0,0,0,1,0,0,0,0,N
Nomonyx_dominicus,0,0,0,0,0,0,0,0,1,1,1,0,N
Turdus_nudigenis,0,0,0,0,0,0,0,0,0,1,0,1,N
Cinclocerthia_gutturalis,0,0,0,0,0,0,0,0,1,1,0,0,N
Ramphocinclus_brachyurus,0,0,0,0,0,0,0,0,1,1,0,0,N
Icterus_bonana,0,0,0,0,0,0,0,0,1,0,0,0,N
Amazona_martinicana,0,0,0,0,0,0,0,0,1,0,0,0,Y
