species,Guam,Rota,Aguiguan,Tinian,Saipan,Medinilla,Anatahan,Sarigan,Guguan,Alamagan,Pagan,Agrihan,Asuncion,Maug,Uracas,Extinct
Anas_platyrhynchos,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N
Todiramphus_cinnamominus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Collocalia_bartschi,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N
Gallicolumba_xanthonura,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,N
Ptilinopus_roseicapilla,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N
Gallirallus_owstoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Porzana_cinerea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Gallinula_chloropus,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,N
Anous_stolidus,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,N
Fregata_minor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,N
Gygis_alba,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,N
Sula_leucogaster,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,N
Egretta_sacra,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,N
Ixobrychus_sinensis,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N
Myzomela_rubratra,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,N
Corvus_kubaryi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Rhipidura_rufifrons,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N
Myiagra_freycineti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Aplonis_opaca,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,N
Zosterops_rotensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Zosterops_conspicillatus,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,N
Acrocephalus_luscinius,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,N
Todiramphus_chloris,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,N
Sula_sula,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,N
Sterna_fuscata,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,N
Anous_minutus,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,N
Puffinus_pacificus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N
Cleptornis_marchei,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,N
Sula_dactylatra,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,N
Megapodius_laperouse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N
Sterna_lunata,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,N
Phaethon_rubricauda,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,N
Phaethon_lepturus,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,N
Monarcha_takatsukasae,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N
Phoebastria_nigripes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N
Erythrura_sp._Rota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Gallicolumba_sp._Rota,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
,,,,,,,,,,,,,,,,
Area (ha),54100,8893,700,10200,12290,90,3513,490,400,1100,4660,4690,740,200,279,
sp.r,24,19,17,19,19,8,6,5,14,6,13,8,7,13,6,
