species,Mehetia,Tahiti,Moorea,Tetiaroa,Maiao,Huahine,Bora.Bora,Tupai,Maupiti,Mopelia,Scilly,Extinct
Gallirallus_pacificus,1,1,0,0,0,0,0,0,0,0,0,Y
Gygis_alba,1,1,1,1,1,1,1,0,0,0,1,N
Phaethon_lepturus,1,1,1,0,1,1,1,0,1,0,0,N
Sula_leucogaster,1,1,0,1,1,0,0,0,0,0,1,N
Puffinus_pacificus,1,0,0,0,0,0,0,0,0,0,0,N
Anas_superciliosa,0,1,1,1,1,1,0,0,0,0,0,N
Todiramphus_veneratus,0,1,1,0,0,0,1,0,0,0,0,N
Todiramphus_tutus,0,0,0,0,0,1,1,1,1,0,0,N
Vini_peruviana,0,1,1,0,0,1,1,0,1,1,1,N
Cyanoramphus_zealandicus,0,1,0,0,0,0,0,0,0,0,0,Y
Collocalia_leucophaea,0,1,1,0,0,1,0,0,0,0,0,N
Gallicolumba_erythroptera,0,1,1,0,0,1,0,0,0,0,0,N
Ptilinopus_purpuratus,0,1,1,0,0,1,1,0,1,0,0,N
Ducula_aurorae,0,1,1,0,0,0,0,0,0,0,0,N
Ducula_galeata,0,1,0,0,0,0,0,0,0,0,0,N
Porzana_tabuensis,0,1,1,0,0,1,0,0,0,0,0,N
Prosobonia_leucoptera,0,1,0,0,0,0,0,0,0,0,0,Y
Egretta_sacra,0,1,1,1,1,1,1,1,1,1,1,N
Pseudobulweria_rostrata,0,1,1,0,0,0,0,0,0,0,0,N
Pomarea_nigra,0,1,0,0,0,0,0,0,0,0,0,N
Hirundo_tahitica,0,1,1,0,0,0,0,0,0,0,0,N
Acrocephalus_caffer,0,1,1,0,0,1,0,0,0,0,0,N
Porzana_nigra,0,1,0,0,0,0,0,0,0,0,0,Y
Prosobonia_ellisi,0,0,1,0,0,0,0,0,0,0,0,Y
Sula_sula,0,0,0,1,1,0,0,0,0,0,1,N
Fregata_minor,0,0,0,1,0,0,0,0,0,0,0,N
Fregata_ariel,0,0,0,1,1,0,0,0,0,0,1,N
Sterna_fuscata,0,0,0,1,0,0,0,0,0,1,0,N
Sterna_bergii,0,0,0,1,0,0,0,0,0,0,0,N
Anous_stolidus,0,0,0,1,0,1,0,0,0,0,0,N
Anous_minutus,0,0,0,0,0,1,0,0,0,0,0,N
Pomarea_pomarea,0,0,0,0,0,0,0,0,1,0,0,Y
Butorides_striata,0,1,0,0,0,0,0,0,0,0,0,N
,,,,,,,,,,,,
Area (ha),200,106880,13200,639,1309,8210,2190,1178,500,462,338,
sp.r,5,22,15,10,7,13,7,2,6,3,6,
