species,Rarotonga,Mangaia,Atiu,Mitiaro,Aitutaki,Mauke,Palmerston,Manuae,Extinct
Acrocephalus_kerearako,0,1,0,1,0,0,0,0,N
Anas_superciliosa,0,1,1,1,1,1,0,0,N
Aplonis_cinerascens,1,0,0,0,0,0,0,0,N
Collocalia_sawtelli,0,0,1,0,0,0,0,0,N
Ducula_pacifica,1,0,1,1,0,1,1,1,N
Egretta_sacra,1,1,1,1,1,1,1,1,N
Pomarea_dimidiata,1,0,0,0,0,0,0,0,N
Porzana_tabuensis,0,1,1,1,0,0,0,0,N
Ptilinopus_rarotongensis,1,0,1,0,0,0,0,0,N
Todiramphus_ruficollaris,0,1,0,0,0,0,0,0,N
Todiramphus_tutus,0,0,1,0,0,1,0,0,N
Vini_kuhlii,0,0,1,0,0,0,0,0,N
,,,,,,,,,
Area (ha),6760,3450,2910,2280,1650,1970,260,740,
sp.r,5,5,8,5,2,4,2,2,
