species,Rarotonga,Mangaia,Atiu,Mitiaro,Aitutaki,Mauke,Palmerston,Manuae,Extinct
Acrocephalus_kerearako,0,1,0,1,0,0,0,0,N
Anas_superciliosa,1,1,1,1,1,1,0,0,N
Aplonis_cinerascens,1,0,0,0,0,0,0,0,N
Aplonis_mavornata,0,0,0,0,0,1,0,0,Y
Collocalia_manuoi,0,1,0,0,0,0,0,0,Y
Collocalia_sawtelli,0,0,1,1,0,0,0,0,N
Dendrocygna_sp.,0,0,0,0,1,0,0,0,Y
Ducula_aurorae,0,1,1,0,0,0,0,0,N
Ducula_galeata,0,1,0,0,0,0,0,0,N
Ducula_pacifica,1,0,1,1,1,1,1,1,N
Egretta_sacra,1,1,1,1,1,1,1,1,N
Gallicolumba_erythroptera,0,1,1,0,0,0,0,0,N
Gallicolumba_nui,0,1,0,0,0,0,0,0,Y
Gallirallus_ripleyi,0,1,0,0,0,0,0,0,Y
Nycticorax_sp.,0,1,0,0,0,0,0,0,Y
Pomarea_dimidiata,1,0,0,0,0,0,0,0,N
Porphyrio_sp._Mangaia,0,1,0,0,0,0,0,0,Y
Porzana_rua,0,1,0,0,0,0,0,0,Y
Porzana_sp._Mangaia,0,1,0,0,0,0,0,0,Y
Porzana_tabuensis,0,1,1,1,1,1,0,0,N
Prosobonia_sp._Mangaia,0,1,0,0,0,0,0,0,Y
Ptilinopus_rarotongensis,1,1,1,0,1,1,0,0,N
Todiramphus_ruficollaris,0,1,0,0,0,0,0,0,N
Todiramphus_tutus,1,0,1,1,0,1,0,0,N
Vini_kuhlii,1,1,1,0,1,1,0,0,N
Vini_vidivici,0,1,0,0,0,0,0,0,Y
Vini_sinotoi,0,1,0,0,0,0,0,0,Y
,,,,,,,,,
Area (ha),6760,3450,2910,2280,1650,1970,260,740,
sp.r,8,20,10,7,7,8,2,2,
