species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii,Extinct
Anas_wyvilliana,1,1,0,0,0,1,N
Asio_flammeus,1,1,1,1,1,1,N
Gallinula_chloropus,1,1,0,0,0,0,N
Fulica_alai,1,1,1,1,1,1,N
Himantopus_mexicanus,1,1,1,1,1,1,N
Nycticorax_nycticorax,1,1,1,1,1,1,N
Chasiempis_sandwichensis,1,1,0,0,0,1,N
Myadestes_obscurus,0,0,0,0,0,1,N
Myadestes_palmeri,1,0,0,0,0,0,N
Psittirostra_psittacea,1,0,0,0,0,1,N
Hemignathus_kauaiensis,1,0,0,0,0,0,N
Hemignathus_parvus,1,0,0,0,0,0,N
Oreomystis_bairdi,1,0,0,0,0,0,N
Loxops_caeruleirostris,1,0,0,0,0,0,N
Vestiaria_coccinea,1,1,1,0,1,1,N
Himatione_sanguinea,1,1,1,1,1,1,N
Hemignathus_virens,0,0,1,0,1,1,N
Myadestes_lanaiensis,0,0,1,0,0,0,N
Branta_sandvicensis,1,0,1,0,1,1,N
Pseudonestor_xanthophrys,0,0,0,0,1,0,N
Paroreomyza_montana,0,0,0,0,1,0,N
Palmeria_dolei,0,0,0,0,1,0,N
Buteo_solitarius,0,0,0,0,0,1,N
Loxioides_bailleui,0,0,0,0,0,1,N
Hemignathus_munroi,0,0,0,0,0,1,N
Oreomystis_mana,0,0,0,0,0,1,N
Loxops_coccineus,0,0,0,0,0,1,N
Hemignathus_flavus,0,1,0,0,0,0,N
,,,,,,,
Area (ha),143460,158330,67790,35840,190330,1043400,
sp.r,16,10,9,5,11,17,
