species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii,Extinct
Aidemedia_chascax,0,1,0,0,0,0,Y
Aidemedia_lutetiae,0,0,1,0,1,0,Y
Aidemedia_zanclops,0,1,0,0,0,0,Y
Anas_laysanensis,1,1,1,1,1,1,N
Anas_wyvilliana,1,1,1,0,1,1,N
Apteribis_brevis,0,0,0,0,1,0,Y
Apteribis_glenos,0,0,1,0,0,0,Y
Apteribis_sp._Lanai,0,0,0,1,0,0,Y
Apteribis_sp._Maui,0,0,0,0,1,0,Y
Branta_hylobadistes,1,1,0,0,1,0,Y
Branta_rhuax,0,0,0,0,0,1,Y
Branta_sandvicensis,1,1,1,1,1,1,N
Buteo_solitarius,1,1,1,0,1,1,N
Chaetoptila_angustipluma,0,1,0,0,1,1,Y
Chaetoptila_sp._Maui,0,0,0,0,1,0,Y
Chasiempis_sandwichensis,1,1,0,0,0,1,N
Chelychelynechen_quassus,1,0,0,0,0,0,Y
Chloridops_kona,0,0,0,0,0,1,Y
Chloridops_regiskongi,0,1,0,0,0,0,Y
Chloridops_sp._Kauai,1,0,0,0,0,0,Y
Chloridops_sp._Maui,0,0,0,0,1,0,Y
Chloridops_wahi,1,1,0,0,1,0,Y
Circus_dossenus,0,1,1,0,0,0,Y
Ciridops_anna,1,1,1,0,0,1,Y
Ciridops_tenax,1,0,0,0,0,0,Y
Corvus_hawaiiensis,0,0,0,0,1,1,Y
Corvus_impluviatus,0,1,0,0,0,0,Y
Corvus_viriosus,0,1,1,0,0,0,Y
Dysmorodrepanis_munroi,0,0,0,1,0,0,Y
Fulica_alai,1,1,1,0,1,1,N
Gallinula_chloropus,1,1,1,0,1,1,N
Grallistrix_auceps,1,0,0,0,0,0,Y
Grallistrix_erdmani,0,0,0,0,1,0,Y
Grallistrix_geleches,0,0,1,0,0,0,Y
Grallistrix_orion,0,1,0,0,0,0,Y
Haliaeetus_albicilla,0,1,1,0,1,0,N
Hemignathus_ellisana,0,1,0,0,0,0,Y
Hemignathus_kauaiensis,1,0,0,0,0,0,N
Hemignathus_lanaiensis,0,0,1,1,1,0,Y
Hemignathus_lucidus,1,1,1,0,1,1,Y
Hemignathus_munroi,0,0,0,0,0,1,N
Hemignathus_obscurus,0,0,0,0,0,1,Y
Hemignathus_parvus,1,0,0,0,0,0,N
Hemignathus_sagittirostris,0,0,0,0,0,1,Y
Hemignathus_stejnegeri,1,0,0,0,0,0,Y
Hemignathus_upupirostris,1,1,0,0,0,0,Y
Hemignathus_virens,0,0,1,1,1,1,N
Hemignathus_vorpalis,0,0,0,0,0,1,Y
Himantopus_mexicanus,1,1,1,0,1,1,N
Himatione_sanguinea,1,1,1,1,1,1,N
Loxioides_bailleui,1,1,0,0,0,1,N
Loxioides_kikuchi,1,0,0,0,0,0,Y
Loxops_caeruleirostris,1,0,0,0,0,0,N
Loxops_coccineus,0,1,0,0,1,1,N
Melamprosops_phaeosoma,0,0,0,0,1,0,N
Moho_apicalis,0,1,0,0,0,0,Y
Moho_bishopi,0,0,1,1,1,0,Y
Moho_braccatus,1,0,0,0,0,0,Y
Moho_nobilis,0,0,0,0,0,1,Y
Myadestes_lanaiensis,0,1,1,1,1,0,N
Myadestes_myadestinus,1,0,0,0,0,0,Y
Myadestes_obscurus,0,0,0,0,0,1,N
Myadestes_palmeri,1,0,0,0,0,0,N
Myadestes_woahensis,0,1,0,0,0,0,Y
Nycticorax_nycticorax,1,1,1,1,1,1,N
Oreomystis_bairdi,1,0,0,0,0,0,N
Oreomystis_mana,0,0,0,0,0,1,N
Orthiospiza_howarthi,0,0,0,0,1,0,Y
Palmeria_dolei,0,0,1,0,1,0,N
Paroreomyza_flammea,0,0,1,0,0,0,Y
