species,Guam,Saipan,Tinian,Rota,Aguiguan,Extinct
Acrocephalus_luscinius,0,1,0,0,0,N
Aplonis_opaca,1,1,1,1,1,N
Cleptornis_marchei,0,1,0,0,1,N
Collocalia_bartschi,1,1,0,0,1,N
Corvus_kubaryi,0,0,0,1,0,N
Egretta_sacra,1,1,1,1,0,N
Gallicolumba_xanthonura,0,1,1,1,1,N
Gallinula_chloropus,1,1,1,1,0,N
Ixobrychus_sinensis,1,1,1,1,1,N
Megapodius_laperouse,0,1,1,0,1,N
Monarcha_takatsukasae,0,0,1,0,0,N
Myzomela_rubratra,0,1,1,1,1,N
Ptilinopus_roseicapilla,0,1,1,1,1,N
Rhipidura_rufifrons,0,1,1,1,1,N
Todiramphus_chloris,0,1,1,1,1,N
Zosterops_rotensis,0,0,0,1,0,N
Zosterops_conspicillatus,0,1,1,0,1,N
,,,,,,
Area (ha),54100,12290,10200,8893,700,
sp.r,5,14,12,11,11,
