species,Guam,Saipan,Tinian,Rota,Aguiguan,Extinct
Acrocephalus_luscinius,1,1,1,0,1,N
Anas_platyrhynchos,1,1,1,0,0,N
Anatidae_sp._Rota,0,0,0,1,0,Y
Aplonis_opaca,1,1,1,1,1,N
Cleptornis_marchei,0,1,1,1,1,N
Collocalia_bartschi,1,1,1,1,1,N
Corvus_kubaryi,1,0,0,1,0,N
Ducula_oceanica,1,0,1,1,0,N
Egretta_sacra,1,1,1,1,0,N
Erythrura_sp._Rota,1,0,0,1,0,Y
Falco_peregrinus,0,0,0,1,0,N
Gallicolumba_sp._Rota,0,0,0,1,0,Y
Gallicolumba_xanthonura,1,1,1,1,1,N
Gallinula_chloropus,1,1,1,1,0,N
Gallirallus_owstoni,1,0,0,0,0,N
Gallirallus_pendiculentus,0,0,1,0,0,Y
Gallirallus_pisonii,0,0,0,0,1,Y
Gallirallus_temptatus,0,0,0,1,0,Y
Gallirallus_sp._Saipan,0,1,0,0,0,Y
Ixobrychus_sinensis,1,1,1,1,1,N
Megapodius_laperouse,1,1,1,1,1,N
Monarcha_takatsukasae,1,1,1,0,0,N
Myiagra_freycineti,1,0,0,1,0,Y
Myzomela_rubratra,1,1,1,1,1,N
Porphyrio_sp._Rota,0,0,0,1,0,Y
Porphyrio_sp._Tinian,0,0,1,0,0,Y
Porzana_cinerea,1,0,1,1,0,N
Porzana_sp._Aguijan,0,0,0,0,1,Y
Porzana_sp._Guam,1,0,0,0,0,Y
Porzana_sp._Rota,0,0,0,1,0,Y
Porzana_sp._Tinian,0,0,1,0,0,Y
Psittacidae_sp._Rota,0,0,0,1,0,Y
Ptilinopus_roseicapilla,1,1,1,1,1,N
Rhipidura_rufifrons,1,1,1,1,1,N
Todiramphus_chloris,0,1,1,1,1,N
Todiramphus_cinnamominus,1,0,0,0,0,Y
Vini_sp._Guam,1,0,0,0,0,Y
Zosteropidae_large_sp.,1,0,0,0,0,Y
Zosterops_rotensis,0,0,0,1,0,N
Zosterops_conspicillatus,1,1,1,0,1,N
,,,,,,
Area (ha),54100,12290,10200,8893,700,
sp.r,24,17,21,25,14,
