species,Penrhyn,Rakahanga,Manihiki,Pukapuka,Nassau,Suwarrow,Palmerston,Aitutaki,Manuae,Takutea,Atiu,Mitiaro,Mauke,Rarotonga,Mangaia
Sterna_fuscata,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anous_stolidus,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
Anous_minutus,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Procelsterna_cerulea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gygis_alba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phaethon_rubricauda,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
Sula_sula,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Sula_leucogaster,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Fregata_ariel,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sterna_sumatrana,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ducula_pacifica,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0
Sula_dactylatra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Egretta_sacra,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Anas_superciliosa,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
Vini_kuhlii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Phaethon_lepturus,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Fregata_minor,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Todiramphus_tutus,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Collocalia_sawtelli,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ptilinopus_rarotongensis,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Porzana_tabuensis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Acrocephalus_kerearako,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Pomarea_dimidiata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aplonis_cinerascens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Todiramphus_ruficollaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Puffinus_lherminieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,
Area (ha),980,400,520,500,120,170,260,1650,740,130,2910,2280,1970,6760,3450
sp.r,9,4,5,7,2,12,5,5,4,8,9,8,5,9,13
