species,Espanola,Floreana,San.Cristobal,Santa.Fe,Santa.Cruz,Baltra/Seymour,Pinzon,Isabela,Fernandina,Santiago1,Genovesa
Asio_flammeus,1,1,1,1,1,1,1,1,0,1,1
Zenaida_galapagoensis,1,1,1,1,1,1,1,1,1,1,1
Creagrus_furcatus,1,1,1,1,1,1,1,1,1,1,1
Anous_stolidus,1,1,1,1,1,1,1,1,1,1,1
Buteo_galapagoensis,1,0,0,1,0,0,1,1,1,1,0
Phaethon_aethereus,1,1,1,1,1,1,0,1,1,0,1
Sula_nebouxii,1,1,1,1,1,1,1,1,1,1,0
Larus_fuliginosus,1,1,1,1,1,1,1,1,1,1,1
Nyctanassa_violacea,1,1,1,1,1,1,1,1,1,1,1
Pelecanus_occidentalis,1,1,1,1,1,1,1,1,1,1,0
Fregata_minor,1,0,1,0,0,0,0,0,0,0,1
Puffinus_lherminieri,1,1,0,0,1,1,0,0,0,0,0
Phoebastria_irrorata,1,0,0,0,0,0,0,0,0,0,0
Oceanodroma_castro,1,0,0,0,0,0,0,0,0,0,1
Myiarchus_magnirostris,1,1,1,1,1,1,1,1,1,1,0
Mimus_macdonaldi,1,0,0,0,0,0,0,0,0,0,0
Dendroica_petechia,1,1,1,1,1,1,1,1,1,1,1
Geospiza_fuliginosa,1,1,1,1,1,1,1,1,1,1,0
Geospiza_conirostris,1,0,0,0,0,0,0,0,0,0,1
Certhidea_olivacea,1,1,1,1,1,1,1,1,1,1,1
Anas_bahamensis,0,1,1,0,1,0,0,1,1,1,1
Coccyzus_melacoryphus,0,1,1,0,1,0,0,1,1,1,0
Neocrex_erythrops,0,1,1,0,1,0,0,0,0,0,0
Gallinula_chloropus,0,1,1,0,1,0,0,1,1,1,0
Haematopus_palliatus,1,1,1,1,1,0,0,1,1,1,0
Himantopus_mexicanus,0,1,1,0,1,0,0,1,1,1,0
Ardea_herodias,0,1,1,0,1,0,0,1,1,1,0
Bubulcus_ibis,0,1,1,0,1,0,0,1,0,0,0
Phoenicopterus_ruber,0,1,0,0,1,0,0,1,0,1,0
Pterodroma_phaeopygia,0,1,1,0,1,0,0,1,0,1,0
Pyrocephalus_rubinus,0,1,0,0,1,0,1,1,1,1,0
Progne_modesta,0,1,1,1,1,1,1,1,1,1,0
Geospiza_fortis,0,1,1,1,1,1,1,1,1,1,0
Geospiza_scandens,0,1,1,1,1,1,0,1,0,1,0
Platyspiza_crassirostris,0,1,1,0,1,0,0,1,1,1,0
Camarhynchus_psittacula,0,0,0,1,1,0,0,1,1,1,0
Camarhynchus_pauper,0,1,0,0,0,0,0,0,0,0,0
Camarhynchus_parvulus,0,1,1,1,1,1,1,1,1,1,0
Tyto_alba,0,0,1,0,1,0,0,1,1,1,0
Sula_sula,0,0,1,0,0,0,0,0,0,0,1
Casmerodius_albus,0,1,1,0,1,0,0,1,1,1,0
Butorides_striata,0,1,1,0,1,0,1,1,1,1,0
Fregata_magnificens,0,0,1,0,0,1,0,1,0,0,1
Oceanodroma_tethys,0,0,1,0,0,0,0,0,0,0,1
Mimus_melanotis,0,0,1,0,0,0,0,0,0,0,0
Camarhynchus_pallidus,0,0,1,0,1,0,1,1,1,1,0
Mimus_parvulus,0,0,0,1,1,1,0,1,1,1,1
Laterallus_spilonotus,0,0,0,0,1,0,0,1,1,1,1
Geospiza_magnirostris,0,0,0,0,1,1,1,1,1,1,1
Phalacrocorax_harrisi,0,0,0,0,0,0,0,1,1,0,0
Spheniscus_mendiculus,0,1,0,0,0,0,0,1,1,1,0
Camarhynchus_heliobates,0,0,0,0,0,0,0,1,0,0,0
Geospiza_difficilis,0,0,0,0,0,0,0,0,1,1,1
Sula_granti,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,
Area (ha),5827,17803,54660,2408,97930,2693,1795,471130,62850,57710,1538
sp.r,22,35,37,22,39,22,21,42,36,38,21
