species,Anguilla,St.Martin,St.Barthelemy,Saba,St.Eustacius,Monserrat,Guadeloupe,Dominica,Martinique,St.Lucia,Barbados,Grenada
Anas_bahamensis,1,1,1,0,0,0,0,0,0,0,0,0
Coccyzus_minor,1,1,1,0,0,1,1,1,1,1,0,1
Eulampis_holosericeus,1,1,1,1,1,1,1,1,1,1,1,1
Orthorhyncus_cristatus,1,1,1,1,1,1,1,1,1,1,1,1
Patagioenas_leucocephala,1,1,1,0,0,0,1,0,0,0,0,0
Patagioenas_squamosa,1,1,1,1,1,1,1,1,1,1,1,1
Columbina_passerina,1,1,1,1,1,1,1,1,1,1,1,1
Gallinula_chloropus,1,1,1,0,0,1,1,1,1,1,1,0
Haematopus_palliatus,1,1,1,0,0,0,0,0,0,0,1,0
Himantopus_mexicanus,1,1,1,0,0,1,1,1,1,0,1,0
Charadrius_alexandrinus,1,0,1,0,0,0,0,0,0,0,0,0
Larus_atricilla,1,1,1,0,0,0,1,0,0,0,0,1
Sterna_maxima,1,0,0,0,0,0,0,0,0,0,0,0
Sterna_antillarum,1,1,1,0,0,0,0,0,0,0,0,0
Falco_sparverius,1,1,1,1,1,1,1,1,1,1,0,1
Podilymbus_podiceps,1,0,1,0,0,0,0,0,0,0,1,0
Phaethon_aethereus,1,1,0,1,1,1,1,1,1,1,1,1
Phaethon_lepturus,0,1,0,0,1,0,1,1,1,0,0,0
Egretta_caerulea,1,1,1,0,0,0,1,1,1,1,1,1
Bubulcus_ibis,1,1,1,1,1,1,1,1,1,1,1,1
Butorides_virescens,1,1,1,1,1,1,1,1,1,1,1,1
Nyctanassa_violacea,1,1,1,0,1,1,1,1,1,1,0,0
Pelecanus_occidentalis,1,1,1,0,0,1,0,0,0,0,0,0
Elaenia_martinica,1,1,1,1,1,1,1,1,1,1,1,1
Tyrannus_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1
Vireo_altiloquus,1,1,1,1,1,1,1,1,1,1,1,1
Margarops_fuscatus,1,1,1,1,1,1,1,1,1,1,0,0
Progne_dominicensis,1,1,1,1,1,1,1,1,1,1,1,1
Dendroica_petechia,1,1,1,0,1,1,1,1,1,1,1,0
Coereba_flaveola,1,1,1,1,1,1,1,1,1,1,1,1
Tiaris_bicolor,1,1,1,1,1,1,1,1,1,1,1,1
Loxigilla_noctis,1,1,1,1,1,1,1,1,1,1,1,1
Quiscalus_lugubris,0,0,0,0,0,1,1,1,1,1,1,1
Charadrius_wilsonia,0,1,1,0,0,0,0,0,0,0,0,1
Egretta_thula,0,1,0,0,0,0,1,0,0,0,1,0
Eulampis_jugularis,0,0,1,1,1,1,1,1,1,1,0,1
Geotrygon_mystacea,0,1,0,1,1,1,1,1,1,1,0,0
Porphyrio_martinica,0,0,1,0,0,1,0,0,1,0,1,0
Buteo_jamaicensis,0,0,1,1,1,0,0,0,0,0,0,0
Margarops_fuscus,0,1,1,1,0,1,1,1,1,1,0,1
Crotophaga_ani,0,0,0,0,1,1,1,1,1,1,0,1
Cinclocerthia_ruficauda,0,0,0,1,0,1,1,1,0,0,0,1
Turdus_lherminieri,0,0,0,0,0,1,1,1,0,1,0,0
Icterus_oberi,0,0,0,0,0,1,0,0,0,0,0,0
Melanerpes_herminieri,0,0,0,0,0,0,1,0,0,0,0,0
Megaceryle_torquata,0,0,0,0,0,0,1,1,1,0,0,0
Cypseloides_niger,0,0,0,0,0,1,1,1,1,1,1,1
Chaetura_martinica,0,0,0,0,0,0,1,1,1,1,0,0
Geotrygon_montana,0,0,0,0,0,0,1,1,1,1,0,1
Rallus_longirostris,0,0,0,0,0,0,1,0,1,0,0,0
Casmerodius_albus,0,0,0,0,0,0,1,0,0,0,0,0
Ixobrychus_exilis,0,0,0,0,0,0,1,0,0,0,0,0
Contopus_latirostris,0,0,0,0,0,0,1,1,1,1,0,0
