species,Mehetia,Tahiti,Moorea,Tetiaroa,Maiao,Huahine,Bora.Bora,Tupai,Maupiti,Mopelia,Scilly
Gygis_alba,1,1,1,1,1,1,1,0,0,0,1
Phaethon_lepturus,1,1,1,0,1,1,1,0,1,0,0
Sula_leucogaster,1,1,0,1,1,0,0,0,0,0,1
Puffinus_pacificus,1,0,0,0,0,0,0,0,0,0,0
Anas_superciliosa,0,1,1,1,1,1,0,0,0,0,0
Todiramphus_veneratus,0,1,1,0,0,0,0,0,0,0,0
Todiramphus_tutus,0,0,0,0,0,1,1,1,1,0,0
Collocalia_leucophaea,0,1,1,0,0,0,0,0,0,0,0
Ptilinopus_purpuratus,0,1,1,0,0,1,1,0,1,0,0
Ducula_aurorae,0,1,0,0,0,0,0,0,0,0,0
Porzana_tabuensis,0,1,1,0,0,0,0,0,0,0,0
Egretta_sacra,0,1,1,1,1,1,1,1,1,1,1
Pseudobulweria_rostrata,0,1,1,0,0,0,0,0,0,0,0
Pomarea_nigra,0,1,0,0,0,0,0,0,0,0,0
Hirundo_tahitica,0,1,1,0,0,0,0,0,0,0,0
Acrocephalus_caffer,0,1,1,0,0,0,0,0,0,0,0
Sula_sula,0,0,0,1,1,0,0,0,0,0,1
Fregata_minor,0,0,0,1,0,0,0,0,0,0,0
Fregata_ariel,0,0,0,1,1,0,0,0,0,0,1
Sterna_fuscata,0,0,0,1,0,0,0,0,0,1,0
Sterna_bergii,0,0,0,1,0,0,0,0,0,0,0
Anous_stolidus,0,0,0,1,0,1,0,0,0,0,0
Anous_minutus,0,0,0,0,0,1,0,0,0,0,0
Vini_peruviana,0,0,0,0,0,0,0,0,0,1,1
Butorides_striata,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Area (ha),200,106880,13200,639,1309,8210,2190,1178,500,462,338
sp.r,4,15,11,10,7,8,5,2,4,3,6
