species,Grenadier,Hill,Thwartway,Georgina,Camelot,Gordon,Mulcaster,Adelaide,Beau Rivage,Constance
Contopus_virens,1,1,1,1,1,1,1,1,1,1
Molothrus_ater,1,1,1,1,1,1,1,1,1,1
Colaptes_auratus,1,1,1,1,1,0,0,1,1,1
Parus_atricapillus,1,1,1,1,1,1,1,0,1,0
Quiscalus_quiscula,1,0,1,1,1,1,1,0,1,1
Megaceryle_alcyon,1,1,0,0,0,1,1,1,1,1
Cyanocitta_cristata,1,1,1,1,1,0,1,0,0,1
Bombycilla_cedrorum,1,1,1,1,1,1,0,0,1,0
Vireo_gilvus,1,0,1,0,1,1,1,1,1,0
Dendroica_petechia,1,0,1,0,1,1,1,1,1,0
Icterus_galbula,1,0,1,1,1,1,1,1,0,0
Melospiza_melodia,1,0,1,0,1,1,0,1,1,1
Tyrannus_tyrannus,1,0,1,1,0,1,0,1,1,0
Myiarchus_crinitus,1,1,1,1,0,0,0,0,1,1
Corvus_brachyrhynchos,1,0,0,1,1,1,0,0,1,1
Turdus_migratorius,1,0,0,1,1,1,0,0,1,1
Agelaius_phoeniceus,1,0,1,0,0,1,1,1,1,0
Pheucticus_ludovicianus,1,1,1,0,0,1,1,0,1,0
Vireo_olivaceus,1,0,1,1,0,0,1,0,0,1
Pipilo_erythrophthalmus,1,1,1,0,1,0,0,0,0,1
Bonasa_umbellus,1,0,1,0,1,0,0,0,1,0
Troglodytes_aedon,1,0,1,0,1,0,1,0,0,0
Dumetella_carolinensis,1,0,1,0,0,0,0,1,1,0
Catharus_fuscescens,1,1,1,0,0,0,1,0,0,0
Dendroica_pinus,0,1,0,1,1,0,1,0,0,0
Setophaga_ruticilla,1,1,1,0,0,1,0,0,0,0
Zonotrichia_albicollis,1,1,1,0,1,0,0,0,0,0
Scolopax_minor,1,0,1,0,1,0,0,0,0,0
Coccyzus_erythropthalmus,1,1,0,1,0,0,0,0,0,0
Archilochus_colubris,1,0,0,0,0,1,0,1,0,0
Picoides_villosus,1,0,1,1,0,0,0,0,0,0
Picoides_pubescens,1,0,1,0,0,0,0,0,1,0
Tachycineta_bicolor,1,0,0,1,0,0,0,1,0,0
Hirundo_rustica,1,0,0,0,0,1,0,1,0,0
Sitta_carolinensis,1,0,1,0,1,0,0,0,0,0
Seiurus_aurocapilla,1,1,1,0,0,0,0,0,0,0
Geothlypis_trichas,1,1,0,0,0,1,0,0,0,0
Spizella_passerina,1,1,0,0,1,0,0,0,0,0
Butorides_virescens,1,0,0,0,0,1,0,0,0,0
Anas_platyrhynchos,1,0,0,0,0,0,0,1,0,0
Anas_strepera,0,0,0,0,0,1,0,1,0,0
Buteo_jamaicensis,0,1,1,0,0,0,0,0,0,0
Actitis_macularius,0,0,0,0,0,0,0,1,1,0
Sayornis_phoebe,1,0,0,0,0,0,0,0,0,1
Empidonax_minimus,1,0,0,1,0,0,0,0,0,0
Sitta_canadensis,0,0,0,1,0,0,1,0,0,0
Certhia_americana,0,1,1,0,0,0,0,0,0,0
Toxostoma_rufum,1,0,0,0,0,1,0,0,0,0
Hylocichla_mustelina,1,0,1,0,0,0,0,0,0,0
Vireo_flavifrons,1,0,0,0,0,0,0,1,0,0
Dendroica_coronata,0,0,0,1,1,0,0,0,0,0
Dendroica_striata,0,1,1,0,0,0,0,0,0,0
Piranga_olivacea,0,1,1,0,0,0,0,0,0,0
Carduelis_tristis,1,0,0,0,0,1,0,0,0,0
Spizella_pusilla,1,1,0,0,0,0,0,0,0,0
Pandion_haliaetus,1,0,0,0,0,0,0,0,0,0
Gallinula_chloropus,0,0,0,0,0,0,0,1,0,0
Megascops_asio,0,0,1,0,0,0,0,0,0,0
Bubo_virginianus,1,0,0,0,0,0,0,0,0,0
Caprimulgus_vociferus,0,1,0,0,0,0,0,0,0,0
Empidonax_traillii,1,0,0,0,0,0,0,0,0,0
Contopus_cooperi,1,0,0,0,0,0,0,0,0,0
Riparia_riparia,0,1,0,0,0,0,0,0,0,0
Stelgidopteryx_serripennis,0,0,0,0,0,1,0,0,0,0
Cistothorus_palustris,1,0,0,0,0,0,0,0,0,0
Catharus_guttatus,0,1,0,0,0,0,0,0,0,0
Cardinalis_cardinalis,0,0,0,1,0,0,0,0,0,0
Melospiza_georgiana,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
Area (ha),553,558,36.45,9.43,9.47,6.27,5.38,2.6,4.38,2.95
sp.r,52,26,34,21,22,24,16,19,20,13
