species,San Miguel,Santa Rosa,Santa Cruz,Anacapa,San Nicholas,Santa Barbara,Santa Catalina,San Clemente,Los Coronados,Todos Santos,San Martin,San Geronimo,Guadalupe,San Benito,Cedros,Natvidad
Falco_sparverius,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
Callipepla_californica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zenaida_macroura,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Tyto_alba,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
Athene_cunicularia,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Asio_otus,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Chordeiles_acutipennis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aeronautes_saxatalis,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
Calypte_costae,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Calypte_anna,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
Selasphorus_sasin,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0
Megaceryle_alcyon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colaptes_auratus,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Melanerpes_formicivorus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Myiarchus_cinerascens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sayornis_nigricans,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Sayornis_saya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Empidonax_difficilis,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Eremophila_alpestris,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Hirundo_rustica,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
Aphelocoma_californica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corax,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Psaltriparus_minimus,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Sitta_canadensis,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Thryomanes_bewickii,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0
Salpinctes_obsoletus,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Mimus_polyglottos,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Regulus_calendula,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lanius_ludovicianus,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Vireo_huttoni,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Vermivora_celata,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
Geothlypis_trichas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sturnella_neglecta,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Icterus_cucullatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Carpodacus_mexicanus,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
Carduelis_psaltria,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Carduelis_lawrencei,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pipilo_maculatus,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Passerculus_sandwichensis,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Chondestes_grammacus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimophila_ruficeps,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Amphispiza_bilineata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Amphispiza_belli,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Spizella_passerina,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Melospiza_melodia,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
Area (ha),3625.986,21755.916,24863.904,284.8989,6161.61,258.999,19424.925,14503.944,258.999,129.4995,233.0991,51.7998,25381.902,647.4975,34705.866,725.1972
sp.r,10,22,32,16,10,13,28,23,13,14,4,2,12,7,12,5
