species,Babi,Bangkaru,Enggano,Lasia,Nias,North_Pagai,Pini,Siberut,Simeulue,Sipora,South_Pagai,Tana_Bala,Tana_Massa,Tello,Tuangku
Accipiter_trivirgatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aceros_corrugatus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Actenoides_concretus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Aegithina_tiphia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aegithina_viridissima,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Aethopyga_siparaja,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Alcedo_meninting,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Alcippe_brunneicauda,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Alophoixus_phaeocephalus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amaurornis_phoenicurus,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0
Anthracoceros_albirostris,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
Anthreptes_malacensis,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
Anthreptes_simplex,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Anthreptes_singalensis,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Anthus_rufulus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Aplonis_panayensis,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
Arachnothera_affinis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arachnothera_chrysogenys,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
Arachnothera_longirostra,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1
Ardea_purpurea,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
Ardea_sumatrana,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1
Artamus_leucorynchus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Butorides_striata,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
Cacomantis_merulinus,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Cacomantis_sepulcralis,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Cacomantis_sonneratii,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Caloenas_nicobarica,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
Calyptomena_viridis,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
Celeus_brachyurus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Centropus_sinensis,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ceyx_erithaca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ceyx_rufidorsa,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1
Chalcophaps_indica,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
Charadrius_peronii,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Chloropsis_sonnerati,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
Chrysococcyx_minutillus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chrysococcyx_xanthorhynchus,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
Ciconia_stormi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cisticola_juncidis,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Collocalia_esculenta,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1
Collocalia_fuciphaga,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
Collocalia_maxima,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Collocalia_salangana,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Columba_argentina,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
Copsychus_malabaricus,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Copsychus_saularis,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0
Coracina_fimbriata,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Coracina_striata,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0
Corvus_enca,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
Culicicapa_ceylonensis,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
Dendrocopos_moluccensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dendrocygna_arcuata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dendrocygna_javanica,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Dicaeum_chrysorrheum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dicaeum_cruentatum,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0
Dicaeum_trigonostigma,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0
Dicrurus_hottentottus,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Dicrurus_leucophaeus,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
Dicrurus_paradiseus,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Dicrurus_sumatranus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dryocopus_javensis,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Ducula_aenea,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Ducula_badia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ducula_bicolor,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Egretta_sacra,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1
Elanus_caeruleus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Enicurus_leschenaulti,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Esacus_giganteus,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Eudynamys_scolopaceus,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
Eurostopodus_macrotis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eurostopodus_temminckii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
