Sayol_name,Dataset_sp,Archipelago,Order,Family,Genus,Mass,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipp.s.Distance,Tail.Length,Aquatic_species,Aquatic_rationale,Imputation notes
Aegotheles novazelandiae,Aegotheles_novazelandiae,New_Zealand,APODIFORMES,Aegothelidae,Aegotheles,175,22.79,10.43,5.88,5.08,34.26,197.06,46.34,153.51,FALSE,Forest species as per NZ Birds Online,Imputed from skeleton data
Aerodramus manuoi,Collocalia_manuoi,Cook_islands,APODIFORMES,Apodidae,Collocalia,17,5.58,2.57,2.41,2.07,11.47,129.63,83.96,44.05,FALSE,Assumption as no other species in genus are aquatic,Imputed from skeleton data
Aidemedia chascax,Aidemedia_chascax,Hawaii,PASSERIFORMES,Fringillidae,Extinct,31.25,19.41,13.19,6.77,8.41,21.79,90.98,21.75,64.65,FALSE,"Assumed, as all other Hawaiian Honeycreepers are not aquatic species",Imputed from skeleton data
Aidemedia lutetiae,Aidemedia_lutetiae,Hawaii,PASSERIFORMES,Fringillidae,Extinct,29.28,18.78,12.83,6.66,8.25,21.23,88.12,21.13,62.28,FALSE,"Assumed, as all other Hawaiian Honeycreepers are not aquatic species",Imputed from skeleton data
Aidemedia zanclops,Aidemedia_zanclops,Hawaii,PASSERIFORMES,Fringillidae,Extinct,29.3,18.68,12.69,6.6,8.2,21.28,88.13,21.15,62.59,FALSE,"Assumed, as all other Hawaiian Honeycreepers are not aquatic species",Imputed from skeleton data
Akialoa ellisiana,Hemignathus_ellisana,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,29.5,59.39,47.24,4.32,5.08,22.91,82.07,21.91,48.75,FALSE,Assumption as all other species in the genus are forest species,Imputed from partial skin data
Akialoa lanaiensis,Hemignathus_lanaiensis,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,27.5,38.26,29.74,4.71,5.84,21.2,79.25,20.92,44.4,FALSE,Assumption as all other species in the genus are forest species,Imputed from partial skin data
Akialoa obscura,Hemignathus_obscurus,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,25.63,40.89,33.36,4.01,4.99,25.56,80.19,20.19,40,FALSE,Forest species as per IUCN,Imputed from partial skin data
Akialoa stejnegeri,Hemignathus_stejnegeri,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,34.98,59.82,52.77,4.2,5.51,27.32,92.5,25.14,51,FALSE,Assumption as all other species in the genus are forest species,Imputed from partial skin data
Alopecoenas nui,Gallicolumba_nui,Cook_islands,COLUMBIFORMES,Columbidae,Gallicolumba,258.37,25.92,12.19,3.91,5.52,41.09,173.55,45.02,103.26,FALSE,Assumption as all other species in the genus are forest species,Imputed from skeleton data
Amazona martinicana,Amazona_martinicana,Lesser_Antilles,PSITTACIFORMES,Psittacidae,Amazona,529.5,39.89,30.32,17.97,31.49,24.33,219.17,67.89,123.86,FALSE,"No other species in genus aquatic, and considered likely to be a forest species by IUCN",Imputed from body mass
Amazona violacea,Amazona_violacea,Lesser_Antilles,PSITTACIFORMES,Psittacidae,Amazona,529.5,39.98,30.36,17.98,31.44,24.43,219.72,67.93,124.13,FALSE,"No other species in genus aquatic, and considered likely to be a forest species by IUCN",Imputed from body mass
Anatidae sp./Rota,Anatidae_sp._Rota,Marianas,ANSERIFORMES,Anatidae,NA,885.75,42.22,24.75,14.99,12.83,42.68,228.24,90.76,93.55,TRUE,Assumption as nearly all other species in Family are wetland/riverine,Imputed from body mass (median genus)
Anomalopteryx didiformis,Anomalopteryx_didiformis,New_Zealand,Extinct,Extinct,Extinct,49000,66.09,26.28,25.2,30.87,170.8,270.78,17.3,78.59,FALSE,Lowland forests as per NZ Birds Online,Imputed from skeleton data
Aplonis mavornata,Aplonis_mavornata,Cook_islands,PASSERIFORMES,Sturnidae,Aplonis,62.72,23.6,12.5,5.1,6.9,27.2,104,23.8,65,FALSE,Assumption as no other species in genus are aquatic,Imputed from partial skin and skeleton data 
Apteribis brevis,Apteribis_brevis,Hawaii,PELECANIFORMES,Threskiornithidae,Extinct,1248,102.86,76.78,11.98,17.22,54.83,217.88,77.78,132.38,FALSE,Probably forest floor species,Imputed from skeleton data
Apteribis glenos,Apteribis_glenos,Hawaii,PELECANIFORMES,Threskiornithidae,Extinct,1330.37,107.4,80.21,12.35,17.79,57.6,235.54,84.52,134.26,FALSE,Probably forest floor species,Imputed from skeleton data
